"2.98664,8.72721","3.10855,8.71512","3.1695,8.70303","3.23045,8.67886","3.23045,8.67886","3.2914,8.66677","3.34219,8.65468","3.43362,8.61842","3.50473,8.60633","3.53521,8.58215","3.53521,8.58215","3.586,8.55798","3.64695,8.52172","3.74854,8.50963","3.80949,8.49754","3.86029,8.49754","3.87044,8.49754","3.98219,8.46128","4.04314,8.44919","4.1752,8.42502","4.24631,8.40084","4.29711,8.37667","4.30727,8.37667","4.35806,8.35249","4.40885,8.35249","4.51044,8.30414","4.56123,8.26788","4.61203,8.25579","4.61203,8.25579","4.65266,8.19535","4.70345,8.17118","4.82536,8.09865","4.88631,8.06239","4.9371,8.01404","4.9371,8.01404","4.9879,8.00195","5.05901,7.98987","5.09964,7.98987","5.16059,7.96569","5.22154,7.92943","5.22154,7.91734","5.37392,7.8569","5.42472,7.83273","5.53646,7.78438","5.5771,7.74811","5.63805,7.72394","5.63805,7.72394","5.68884,7.69976","5.72948,7.67559","5.80059,7.63933","5.85138,7.63933","5.90217,7.62724","5.90217,7.62724","6.02408,7.59098","6.07487,7.59098","6.17646,7.5668","6.24757,7.5668","6.31868,7.55471","6.31868,7.5668","6.36947,7.53054","6.42026,7.51845","6.52185,7.4701","6.56249,7.45801","6.61328,7.45801","6.71487,7.45801","6.77582,7.44593","6.82661,7.43384","6.93836,7.39758","6.93836,7.39758","6.98915,7.38549","6.98915,7.38549","7.02978,7.38549","7.10089,7.36131","7.19232,7.34923","7.24311,7.33714","7.32438,7.34923","7.39549,7.3734","7.44629,7.3734","7.50724,7.3734","7.62914,7.3734","7.70025,7.38549","7.71041,7.40966","7.71041,7.40966","7.76121,7.40966","7.82216,7.42175","7.92374,7.42175","7.95422,7.40966","8.00501,7.40966","8.00501,7.40966","8.05581,7.40966","7.95422,7.40966","7.96438,7.40966","7.95422,7.40966","7.95422,7.40966","7.95422,7.40966","8.45199,7.36131","8.50279,7.33714","8.62469,7.33714","8.68564,7.34923","8.45199,7.36131","8.45199,7.36131","8.45199,7.36131","8.46215,7.36131","8.94977,7.34923","9.00056,7.33714","9.07167,7.34923","9.14278,7.36131","9.20373,7.3734","9.27484,7.36131","9.38659,7.36131","9.38659,7.38549","9.4577,7.38549","9.4577,7.38549","9.52881,7.38549","9.65071,7.36131","9.79293,7.34923","9.86405,7.33714","9.95547,7.36131","9.95547,7.36131","9.99611,7.33714","10.0571,7.32505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.69329,8.32832","4.85583,8.30414","4.94726,8.29205","5.03869,8.26788","5.04885,8.26788","5.14027,8.25579","5.22154,8.25579","5.4044,8.20744","5.51614,8.17118","5.59741,8.13492","5.59741,8.13492","5.67868,8.09865","5.77011,8.06239","5.95297,8.01404","6.03424,7.97778","6.12566,7.9536","6.13582,7.9536","6.22725,7.94152","6.32884,7.91734","6.51169,7.89316","6.62344,7.89316","6.70471,7.88108","6.81645,7.90525","6.91804,7.89316","6.98915,7.88108","7.15169,7.84481","7.23296,7.83273","7.28375,7.79646","7.28375,7.79646","7.36502,7.78438","7.44629,7.77229","7.59867,7.78438","7.70025,7.78438","7.78152,7.77229","7.78152,7.78438","7.85263,7.7602","7.9339,7.7602","8.09644,7.7602","8.18787,7.74811","8.2793,7.73603","8.2793,7.72394","8.38088,7.71185","8.47231,7.68768","8.50279,7.68768","8.53326,7.68768","8.55358,7.71185","8.55358,7.71185","8.56374,7.72394","9.08183,7.5668","9.285,7.53054","9.38659,7.51845","9.48818,7.50636","9.49833,7.50636","9.58976,7.50636","9.67103,7.53054","9.84373,7.50636","9.96563,7.49428","10.0672,7.4701","10.0774,7.4701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.48442,8.18327","3.64695,8.18327","3.72822,8.18327","3.81965,8.18327","3.80949,8.18327","3.91108,8.18327","3.99235,8.20744","4.09393,8.15909","4.18536,8.17118","4.25647,8.17118","4.26663,8.17118","4.40885,8.2437","4.49012,8.2437","4.65266,8.25579","4.72377,8.25579","4.77456,8.25579","4.77456,8.25579","4.84567,8.25579","4.92694,8.25579","5.00821,8.25579","5.07932,8.23162","5.15043,8.20744","5.16059,8.20744","5.24186,8.20744","5.31297,8.19535","5.30281,8.19535","5.29265,8.19535","5.30281,8.19535","5.30281,8.19535","5.78027,8.09865","5.83106,8.09865","5.93265,8.07448","5.9936,8.06239","6.04439,8.03822","5.78027,8.09865","5.78027,8.09865","5.78027,8.09865","5.78027,8.09865","6.339,7.96569","6.37963,7.9536","6.37963,7.94152","6.44058,7.94152","6.50153,7.92943","6.339,7.96569","6.37963,7.9536","6.42026,7.94152","6.83677,7.89316","6.89772,7.89316","6.94851,7.88108","7.08058,7.88108","7.15169,7.88108","7.21264,7.88108","7.2228,7.88108","7.28375,7.88108","7.35486,7.88108","6.83677,7.89316","6.74534,7.86899","6.65391,7.8569","6.65391,7.8569","7.6393,7.8569","7.71041,7.84481","7.89327,7.82064","7.97454,7.82064","8.1066,7.84481","8.1066,7.84481","8.19803,7.84481","8.28946,7.84481","8.46215,7.86899","8.55358,7.88108","8.65517,7.84481","8.65517,7.84481","8.72628,7.86899","8.8177,7.88108","8.98024,7.90525","9.05135,7.94152","9.15294,7.96569","9.1631,7.96569","9.22405,7.97778","9.31548,7.98987","9.39675,7.97778","9.47802,7.98987","9.55929,8.00195","9.55929,8.00195","9.74214,8.06239","9.82341,8.07448","9.99611,8.11074","10.0774,8.12283","10.1586,8.147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.37838,7.55471","4.57139,7.54263","4.67298,7.51845","4.76441,7.50636","4.76441,7.51845","4.85583,7.49428","4.99805,7.49428","5.21139,7.44593","5.32313,7.42175","5.42472,7.40966","5.53646,7.39758","5.63805,7.40966","5.73964,7.42175","5.86154,7.44593","5.92249,7.44593","6.03424,7.43384","6.03424,7.42175","6.12566,7.42175","6.18662,7.42175","6.44058,7.3734","6.53201,7.36131","6.61328,7.32505","6.62344,7.32505","6.8774,7.30088","6.95867,7.28879","6.96883,7.30088","6.95867,7.32505","6.95867,7.3734","7.4666,7.22835","7.54787,7.20418","7.64946,7.19209","7.79168,7.16791","7.89327,7.16791","7.95422,7.16791","7.95422,7.16791","8.03549,7.16791","8.13708,7.18","8.16755,7.16791","8.43168,7.11956","8.51295,7.09539","8.51295,7.09539","8.61453,7.0833","8.6958,7.04704","8.75675,6.97451","8.77707,6.92616","8.8177,6.8899","9.26469,7.03495","9.36627,7.03495","9.46786,7.03495","9.52881,7.07121","9.6304,7.07121","9.84373,7.01077","9.84373,7.01077","9.96563,7.02286","10.0875,7.05912","10.1383,7.09539","10.4431,7.10747","10.5548,7.10747","10.565,7.11956","10.6564,7.09539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5.24186,7.96569","5.29265,7.97778","5.25202,8.00195","5.33329,7.98987","5.33329,7.98987","5.41456,7.96569","5.96313,7.98987","5.97328,8.00195","6.35931,8.06239","6.35931,8.06239","6.35931,8.06239","6.64375,7.94152","6.68439,7.94152","6.71487,7.92943","6.72502,7.92943","7.30407,7.73603","7.30407,7.73603","7.30407,7.73603","7.31423,7.73603","7.67994,7.57889","7.67994,7.57889","7.66978,7.57889","7.67994,7.57889","8.16755,7.43384","8.2793,7.38549","8.34025,7.40966","8.37072,7.39758","8.82786,7.22835","8.82786,7.22835","8.93961,7.18","9.06151,7.13165","9.17326,7.09539","9.285,7.05912","9.40691,7.02286","9.41707,7.03495","9.52881,6.99869","9.80309,6.95034","9.83357,6.96242","9.81325,6.95034","9.81325,6.97451","10.4126,6.80529","10.5345,6.78111","10.6463,6.74485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.64695,7.54263","3.71806,7.54263","3.73838,7.59098","3.79933,7.61515","3.79933,7.61515","4.25647,7.69976","4.38854,7.71185","4.38854,7.69976","4.42917,7.69976","4.95742,7.7602","4.95742,7.7602","5.07932,7.7602","4.95742,7.7602","4.9371,7.72394","4.95742,7.72394","5.75995,7.78438","5.75995,7.78438","5.8717,7.79646","5.98344,7.79646","5.75995,7.78438","5.8209,7.77229","5.81075,7.77229","6.44058,7.67559","6.54217,7.63933","6.6336,7.61515","6.83677,7.54263","6.44058,7.67559","6.53201,7.67559","6.55233,7.67559","6.62344,7.67559","7.18216,7.51845","7.26343,7.5668","7.3447,7.55471","7.41581,7.54263","7.70025,7.4701","7.77136,7.45801","7.86279,7.44593","8.00501,7.39758","8.03549,7.42175","8.1066,7.39758","8.11676,7.39758","8.20819,7.38549","8.33009,7.34923","8.5231,7.34923","8.60437,7.33714","8.70596,7.33714","8.76691,7.31296","8.85834,7.30088","8.93961,7.26461","9.12246,7.20418","9.22405,7.15582","9.32564,7.11956","9.32564,7.13165","9.42722,7.10747","9.52881,7.07121","9.59992,7.03495","9.72182,7.02286","9.91484,7.03495","9.91484,7.03495","10.0164,7.03495","10.1282,7.02286","10.2805,7.04704","10.372,7.01077","10.4837,6.9866","10.4736,6.97451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.97648,7.05912","3.09839,7.04704","3.1695,7.04704","3.23045,7.03495","3.24061,7.03495","3.31172,7.03495","3.36251,7.03495","3.50473,7.04704","3.586,7.07121","3.65711,7.0833","3.72822,7.05912","3.79933,7.07121","3.87044,7.0833","4.04314,7.0833","4.06346,7.09539","4.14473,7.09539","4.15489,7.09539","4.24631,7.09539","4.26663,7.09539","4.27679,7.09539","4.27679,7.09539","4.27679,7.09539","4.75425,7.09539","4.84567,7.10747","4.9371,7.10747","5.1098,7.13165","5.09964,7.16791","5.18091,7.19209","5.19107,7.19209","5.27234,7.19209","5.38408,7.15582","5.53646,7.15582","5.62789,7.16791","5.68884,7.18","5.68884,7.16791","5.74979,7.19209","5.8209,7.21626","5.88186,7.16791","5.89201,7.16791","6.13582,7.30088","6.13582,7.30088","6.21709,7.32505","6.29836,7.33714","6.35931,7.31296","6.43042,7.31296","6.52185,7.32505","6.70471,7.43384","6.78598,7.43384","6.86724,7.43384","7.02978,7.43384","7.11105,7.44593","7.11105,7.43384","7.11105,7.43384","7.19232,7.43384","7.27359,7.43384","7.41581,7.39758","7.5174,7.40966","7.60883,7.40966","7.60883,7.40966","7.70025,7.39758","7.79168,7.38549","7.90343,7.42175","7.9847,7.40966","8.06597,7.40966","8.08628,7.42175","8.23866,7.39758","8.31993,7.39758","8.34025,7.38549","8.41136,7.3734","8.44184,7.3734","8.84818,7.4701","8.92945,7.48219","9.03104,7.50636","9.21389,7.51845","9.22405,7.49428","9.3358,7.51845","9.35611,7.51845","9.42722,7.53054","9.54913,7.55471","9.72182,7.57889","9.82341,7.60306","9.91484,7.60306","10.0266,7.63933","10.1079,7.63933","10.2094,7.65141","10.3923,7.6635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.35806,6.95034","4.43933,6.91407","4.55107,6.90199","4.65266,6.91407","4.72377,6.95034","4.82536,6.97451","4.91678,6.9866","5.04885,6.95034","5.16059,6.96242","5.25202,6.95034","5.26218,6.96242","5.46535,6.97451","5.55678,6.97451","5.77011,6.9866","5.8717,6.97451","5.92249,6.9866","5.92249,6.9866","6.00376,6.9866","6.08503,6.9866","6.22725,7.01077","6.32884,7.01077","6.37963,7.02286","6.37963,7.03495","6.45074,7.02286","6.55233,7.04704","6.67423,7.04704","6.73518,7.04704","6.80629,7.04704","6.80629,7.04704","6.86724,7.04704","6.9282,7.04704","7.03994,7.04704","7.11105,7.05912","7.16185,7.07121","7.19232,7.07121","7.25327,7.0833","7.31423,7.0833","7.45645,7.10747","7.52756,7.10747","7.54787,7.10747","7.54787,7.10747","7.62914,7.10747","7.70025,7.10747","7.85263,7.09539","7.94406,7.11956","8.01517,7.11956","8.01517,7.11956","8.07612,7.11956","8.13708,7.11956","8.26914,7.14374","8.35041,7.11956","8.41136,7.13165","8.42152,7.11956","8.48247,7.14374","8.53326,7.16791","8.65517,7.15582","8.73644,7.16791","8.8177,7.16791","8.91929,7.11956","9.00056,7.11956","9.07167,7.10747","9.23421,7.09539","9.23421,7.11956","9.30532,7.11956","9.29516,7.11956","9.38659,7.13165","9.4577,7.13165","9.61008,7.14374","9.68119,7.15582","9.76246,7.16791","9.77262,7.16791","9.84373,7.19209","9.91484,7.19209","10.0469,7.19209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.72822,6.64815","3.86029,6.63606","3.9314,6.62397","4.01267,6.61189","4.02282,6.61189","4.09393,6.5998","4.226,6.61189","4.40885,6.5998","4.49012,6.61189","4.56123,6.62397","4.65266,6.62397","4.72377,6.62397","4.80504,6.62397","4.96758,6.62397","4.65266,6.62397","4.68314,6.5998","4.68314,6.5998","4.74409,6.5998","5.21139,6.61189","5.34345,6.61189","5.41456,6.5998","5.50599,6.57562","5.50599,6.57562","5.58726,6.57562","5.63805,6.56354","5.70916,6.57562","5.75995,6.56354","5.83106,6.55145","5.83106,6.55145","5.88186,6.55145","6.01392,6.49101","6.08503,6.45475","6.12566,6.44266","6.15614,6.41848","6.14598,6.41848","6.17646,6.41848","6.20693,6.4064","6.26788,6.37013","6.30852,6.37013","6.32884,6.34596","6.39995,6.33387","6.44058,6.32178","6.47106,6.3097","6.56249,6.28552","6.59296,6.27343","6.57264,6.28552","6.57264,6.28552","6.62344,6.28552","6.67423,6.28552","6.77582,6.29761","6.83677,6.3097","6.88756,6.28552","6.88756,6.28552","6.93836,6.29761","6.98915,6.29761","7.07042,6.29761","7.12121,6.3097","7.20248,6.34596","7.20248,6.34596","7.24311,6.37013","7.28375,6.38222","7.36502,6.41848","7.38534,6.44266","7.43613,6.4064","7.43613,6.4064","7.48692,6.43057","7.5174,6.44266","7.60883,6.47892","7.64946,6.57562","7.6901,6.58771","7.6901,6.5998","7.73073,6.58771","7.79168,6.61189","7.83232,6.56354","7.88311,6.55145","7.95422,6.56354","7.95422,6.56354","8.11676,6.57562","8.17771,6.58771","8.29961,6.5998","8.37072,6.62397","8.42152,6.63606","8.43168,6.63606","8.48247,6.64815","8.56374,6.66024","8.68564,6.6965","8.74659,6.70859","8.71612,6.68441","8.71612,6.68441","8.78723,6.6965","8.85834,6.70859","8.9904,6.75694","9.07167,6.75694","9.13262,6.75694","9.13262,6.75694","9.20373,6.76902","9.24437,6.75694","9.37643,6.82946","9.44754,6.84155","9.51865,6.84155","9.51865,6.84155","9.59992,6.84155","9.68119,6.86572","9.80309,6.87781","9.8742,6.87781","9.95547,6.90199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.74409,6.24926","4.68314,6.27343","4.56123,6.32178","4.56123,6.32178","4.56123,6.32178","4.57139,6.32178","5.48567,6.15256","5.47551,6.17673","5.48567,6.18882","5.98344,6.17673","5.98344,6.17673","6.09519,6.17673","6.21709,6.16465","6.22725,6.20091","6.22725,6.16465","6.22725,6.15256","6.22725,6.15256","6.77582,6.04377","6.88756,6.03168","6.88756,5.97125","6.88756,5.95916","7.41581,6.00751","7.41581,6.00751","7.52756,6.00751","7.6393,6.00751","7.41581,6.00751","7.41581,6.00751","7.42597,6.0196","7.43613,6.00751","7.42597,6.00751","8.23866,6.03168","8.44184,6.0196","8.54342,6.00751","8.63485,6.03168","8.64501,6.03168","8.74659,6.05586","8.82786,6.08003","8.98024,6.14047","9.06151,6.16465","9.13262,6.20091","9.13262,6.213","9.21389,6.23717","9.29516,6.27343","9.41707,6.24926","9.48818,6.26135","9.67103,6.45475","9.67103,6.45475","9.77262,6.47892","9.86405,6.49101","9.93516,6.39431","10.1586,6.47892","10.2399,6.47892","10.2501,6.47892","10.3415,6.49101","10.4837,6.55145","10.6361,6.55145","10.7174,6.56354","10.7783,6.58771","10.7885,6.58771","10.8494,6.5031","10.9104,6.49101","11.0526,6.44266","11.1136,6.41848","11.1847,6.39431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
