"2.62093,8.76347","2.64125,8.75138","2.67172,8.73929","2.71236,8.71512","2.71236,8.71512","2.75299,8.69094","2.84442,8.66677","2.89521,8.65468","2.95617,8.65468","3.01712,8.66677","3.01712,8.66677","3.07807,8.67886","3.22029,8.70303","3.30156,8.70303","3.34219,8.72721","3.42346,8.71512","3.42346,8.71512","3.50473,8.70303","3.65711,8.66677","3.73838,8.65468","3.82981,8.63051","3.94155,8.63051","3.94155,8.63051","4.03298,8.59424","4.03298,8.59424","4.36822,8.52172","4.4698,8.52172","4.58155,8.5338","4.60187,8.5338","4.71361,8.5338","4.71361,8.5338","4.72377,8.5338","5.16059,8.54589","5.27234,8.5338","5.27234,8.52172","5.37392,8.5338","5.4044,8.52172","5.73964,8.5338","5.85138,8.50963","5.86154,8.49754","5.86154,8.50963","5.86154,8.49754","6.23741,8.47337","6.23741,8.47337","6.22725,8.47337","6.23741,8.48545","6.79613,8.38875","6.88756,8.36458","7.07042,8.32832","7.172,8.31623","6.79613,8.38875","6.79613,8.38875","6.79613,8.38875","6.78598,8.37667","7.48692,8.26788","7.56819,8.26788","7.65962,8.25579","7.73073,8.25579","7.73073,8.25579","7.91359,8.27997","8.05581,8.26788","8.11676,8.2437","8.19803,8.25579","8.25898,8.23162","8.25898,8.23162","8.34025,8.25579","8.47231,8.25579","8.55358,8.25579","8.62469,8.25579","8.70596,8.26788","8.70596,8.26788","8.78723,8.26788","8.92945,8.2437","9.03104,8.21953","9.10215,8.21953","9.17326,8.21953","9.17326,8.21953","9.23421,8.23162","9.38659,8.25579","9.44754,8.25579","9.53897,8.25579","9.6304,8.21953","9.6304,8.21953","9.70151,8.21953","9.86405,8.20744","9.94531,8.21953","10.0164,8.21953","10.0875,8.20744","10.1079,8.21953","10.2094,8.21953","10.3618,8.20744","10.4228,8.19535","10.5142,8.20744","10.6158,8.21953","10.6158,8.21953","10.6971,8.23162","10.8494,8.21953","10.9104,8.20744","10.9815,8.20744","11.0729,8.19535","11.0628,8.18327","11.1542,8.17118","11.2863,8.17118","11.3574,8.13492","11.4386,8.11074","11.5199,8.07448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.78792,8.44919","1.80824,8.44919","1.82856,8.44919","1.85903,8.4371","1.86919,8.4371","1.88951,8.4371","1.9403,8.41293","1.98094,8.41293","2.02157,8.40084","2.05205,8.38875","1.78792,8.44919","1.79808,8.44919","1.79808,8.44919","1.79808,8.44919","1.79808,8.44919","1.79808,8.44919","1.79808,8.44919","1.79808,8.44919","2.44823,8.38875","2.51934,8.40084","2.59045,8.40084","2.66157,8.41293","2.79363,8.41293","2.86474,8.41293","3.00696,8.41293","2.79363,8.41293","2.86474,8.41293","2.92569,8.41293","2.92569,8.40084","3.27108,8.40084","3.41331,8.38875","3.50473,8.37667","3.586,8.36458","3.64695,8.35249","3.64695,8.35249","3.73838,8.3404","3.7587,8.31623","4.03298,8.3404","4.12441,8.3404","4.20568,8.3404","4.20568,8.3404","4.31742,8.3404","4.31742,8.3404","4.30727,8.3404","4.29711,8.3404","4.80504,8.26788","4.80504,8.26788","4.88631,8.25579","4.92694,8.25579","5.21139,8.23162","5.30281,8.21953","5.4044,8.19535","5.4044,8.19535","5.49583,8.18327","5.59741,8.18327","5.68884,8.18327","5.77011,8.19535","5.85138,8.18327","5.85138,8.18327","5.93265,8.18327","5.93265,8.15909","5.93265,8.15909","6.339,8.15909","6.39995,8.15909","6.39995,8.15909","6.44058,8.15909","6.51169,8.17118","6.56249,8.17118","6.61328,8.15909","6.67423,8.15909","6.81645,8.13492","6.8774,8.147","6.97899,8.13492","7.03994,8.147","6.81645,8.13492","6.81645,8.13492","6.81645,8.13492","7.15169,8.147","7.28375,8.15909","7.36502,8.17118","7.44629,8.17118","7.49708,8.147","7.49708,8.147","7.56819,8.147","7.70025,8.147","7.78152,8.19535","7.84247,8.19535","7.91359,8.18327","8.00501,8.18327","8.07612,8.17118","8.19803,8.13492","8.25898,8.11074","8.00501,8.18327","8.01517,8.18327","8.02533,8.18327","8.42152,8.11074","8.56374,8.09865","8.64501,8.09865","8.72628,8.11074","8.79739,8.12283","8.42152,8.11074","8.42152,8.09865","8.43168,8.09865","8.43168,8.11074","9.23421,8.0503","9.31548,8.03822","9.31548,8.03822","9.40691,8.03822","9.23421,8.0503","9.23421,8.0503","9.23421,8.0503","9.83357,7.97778","9.83357,7.97778","9.91484,7.97778","10.0875,7.94152","9.83357,7.97778","9.84373,7.98987","9.86405,7.98987","10.4736,7.92943","10.5548,7.91734","10.7275,7.89316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.36696,7.97778","2.38728,7.96569","2.4076,7.96569","2.43808,7.9536","2.42792,7.94152","2.47871,7.94152","2.54982,7.92943","2.63109,7.89316","2.69204,7.90525","2.76315,7.90525","2.63109,7.89316","2.7022,7.90525","2.86474,7.89316","3.02728,7.97778","3.10855,7.98987","3.21013,7.97778","3.21013,7.97778","3.02728,7.97778","3.04759,7.97778","3.07807,7.97778","3.10855,7.97778","3.86029,7.88108","3.86029,7.88108","3.96187,7.86899","3.86029,7.88108","3.86029,7.88108","3.86029,7.88108","4.44949,7.84481","4.44949,7.84481","4.54091,7.84481","4.54091,7.80855","4.85583,7.8569","4.95742,7.8569","5.05901,7.84481","5.05901,7.84481","5.17075,7.84481","5.20123,7.84481","5.20123,7.84481","5.20123,7.84481","5.74979,7.83273","5.85138,7.80855","5.96313,7.79646","5.95297,7.78438","5.96313,7.77229","6.34915,7.77229","6.4609,7.78438","6.47106,7.77229","6.56249,7.79646","6.66407,7.78438","6.7555,7.78438","6.85709,7.77229","6.94851,7.7602","6.94851,7.74811","7.14153,7.74811","7.29391,7.71185","7.39549,7.71185","7.4666,7.69976","7.5174,7.69976","7.59867,7.67559","7.65962,7.68768","7.78152,7.73603","7.59867,7.67559","7.66978,7.68768","7.65962,7.67559","7.64946,7.67559","7.97454,7.79646","8.12692,7.80855","8.20819,7.80855","8.29961,7.78438","8.36057,7.90525","8.36057,7.90525","8.46215,7.90525","8.5231,7.78438","8.59421,7.74811","8.85834,7.77229","8.93961,7.74811","8.93961,7.73603","9.02088,7.68768","8.85834,7.77229","8.92945,7.74811","8.93961,7.7602","8.94977,7.7602","9.62024,7.49428","9.71167,7.45801","9.89452,7.38549","9.99611,7.33714","9.62024,7.49428","9.6304,7.49428","9.62024,7.49428","9.6304,7.49428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.25967,7.9536","1.29015,7.92943","1.32062,7.90525","1.34094,7.88108","1.34094,7.88108","1.37142,7.84481","1.45269,7.78438","1.50348,7.73603","1.54411,7.69976","1.59491,7.67559","1.60507,7.67559","1.25967,7.9536","1.25967,7.9536","1.25967,7.9536","1.25967,7.9536","1.98094,7.5668","1.98094,7.5668","2.06221,7.55471","1.98094,7.5668","1.98094,7.5668","1.98094,7.5668","1.98094,7.5668","2.60061,7.44593","2.68188,7.43384","2.85458,7.42175","2.60061,7.44593","2.60061,7.44593","2.60061,7.44593","2.60061,7.44593","3.1695,7.3734","3.37267,7.39758","3.47426,7.40966","3.586,7.43384","3.1695,7.3734","3.1695,7.3734","3.1695,7.3734","3.1695,7.3734","4.15489,7.45801","4.26663,7.45801","4.37838,7.44593","4.37838,7.44593","4.49012,7.43384","4.49012,7.43384","4.4698,7.43384","4.96758,7.39758","5.08948,7.39758","5.09964,7.40966","5.20123,7.40966","5.33329,7.44593","5.35361,7.44593","5.35361,7.44593","5.36377,7.44593","5.90217,7.48219","5.98344,7.48219","6.17646,7.49428","6.27804,7.50636","6.27804,7.49428","6.339,7.50636","6.34915,7.51845","6.44058,7.53054","6.27804,7.49428","6.27804,7.49428","6.27804,7.49428","6.2882,7.50636","6.9282,7.65141","6.98915,7.65141","7.08058,7.63933","7.19232,7.69976","6.9282,7.65141","6.95867,7.63933","6.96883,7.62724","6.95867,7.6635","7.39549,7.77229","7.45645,7.78438","7.52756,7.78438","7.58851,7.78438","7.812,7.82064","7.88311,7.83273","7.97454,7.86899","8.02533,7.89316","8.14723,7.92943","8.2285,7.92943","8.23866,7.92943","8.33009,7.91734","8.45199,7.92943","8.49263,7.94152","8.46215,7.94152","8.50279,7.94152","8.93961,7.79646","9.02088,7.7602","9.07167,7.72394","9.14278,7.67559","9.27484,7.62724","9.36627,7.60306","9.37643,7.60306","9.46786,7.57889","9.5796,7.55471","9.58976,7.55471","9.5796,7.54263","9.5796,7.55471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.5803,7.38549","2.62093,7.3734","2.66157,7.3734","2.71236,7.3734","2.72252,7.3734","2.77331,7.38549","2.90537,7.42175","2.98664,7.43384","3.05775,7.44593","3.14918,7.44593","3.15934,7.44593","3.24061,7.44593","3.28124,7.4701","3.34219,7.44593","3.35235,7.40966","3.36251,7.38549","3.36251,7.38549","3.82981,7.31296","3.81965,7.22835","3.86029,7.20418","3.87044,7.21626","4.39869,7.32505","4.39869,7.32505","4.51044,7.32505","4.53076,7.31296","4.88631,7.36131","5.02853,7.38549","5.11996,7.33714","5.11996,7.33714","5.22154,7.32505","5.2317,7.34923","5.25202,7.34923","5.74979,7.25253","5.85138,7.21626","5.88186,7.22835","5.97328,7.25253","5.9936,7.21626","6.01392,7.22835","6.05455,7.21626","6.11551,7.22835","6.78598,7.48219","6.89772,7.50636","6.86724,7.53054","6.84693,7.54263","7.2228,7.57889","7.33454,7.57889","7.3447,7.57889","7.44629,7.5668","7.55803,7.60306","7.6393,7.59098","7.71041,7.57889","7.78152,7.57889","7.80184,7.60306","8.03549,7.57889","8.17771,7.6635","8.26914,7.72394","8.34025,7.78438","8.46215,7.83273","8.46215,7.83273","8.54342,7.82064","8.65517,7.80855","8.84818,8.02613","8.89897,8.02613","8.94977,8.02613","8.95993,8.02613","9.25453,8.01404","9.40691,7.97778","9.48818,7.94152","9.55929,7.90525","9.6304,7.90525","9.6304,7.90525","9.72182,7.88108","9.74214,7.90525","9.90468,7.72394","9.98595,7.68768","10.0571,7.62724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.09268,6.75694","2.13332,6.75694","2.17395,6.75694","2.21458,6.74485","2.22474,6.74485","2.26538,6.74485","2.34665,6.73276","2.38728,6.72067","2.09268,6.75694","2.10284,6.75694","2.10284,6.75694","2.09268,6.75694","2.55998,6.67232","2.62093,6.67232","2.69204,6.67232","2.76315,6.68441","2.55998,6.67232","2.57014,6.67232","2.57014,6.68441","2.57014,6.67232","3.23045,6.6965","3.31172,6.70859","3.32188,6.70859","3.40315,6.70859","3.23045,6.6965","3.25077,6.68441","3.25077,6.68441","3.23045,6.73276","4.03298,6.78111","4.13457,6.76902","4.35806,6.74485","4.4698,6.74485","4.57139,6.75694","4.67298,6.76902","4.68314,6.75694","4.78472,6.78111","4.03298,6.78111","4.0533,6.7932","4.04314,6.78111","5.16059,6.74485","5.16059,6.74485","5.25202,6.73276","5.42472,6.70859","5.16059,6.74485","5.21139,6.81737","5.18091,6.78111","5.18091,6.78111","5.80059,6.76902","5.94281,6.80529","6.01392,6.85364","6.06471,6.8899","6.1663,6.8899","6.1663,6.8899","6.21709,6.92616","6.32884,7.02286","6.38979,7.07121","6.45074,7.09539","6.50153,7.11956","6.51169,7.11956","6.56249,7.19209","6.68439,7.20418","6.73518,7.20418","6.81645,7.22835","6.8774,7.25253","6.8774,7.25253","6.9282,7.25253","6.99931,7.24044","7.0501,7.24044","7.10089,7.24044","7.14153,7.25253","7.15169,7.25253","7.20248,7.28879","7.28375,7.34923","7.3447,7.38549","7.39549,7.42175","7.44629,7.44593","7.55803,7.44593","7.60883,7.4701","7.74089,7.53054","7.79168,7.54263","7.87295,7.55471","7.85263,7.51845","7.85263,7.51845","7.91359,7.51845","7.9847,7.45801","8.00501,7.40966","8.28946,7.54263","8.38088,7.51845","8.39104,7.51845","8.45199,7.48219","8.50279,7.43384","8.5739,7.39758","8.66533,7.36131","8.75675,7.33714","8.91929,7.26461","9.00056,7.22835","9.1631,7.13165","9.25453,7.10747","9.26469,7.13165","9.35611,7.11956","9.36627,7.11956","9.4577,7.0833","9.54913,6.99869","9.66087,6.95034","9.76246,6.91407","9.85389,6.86572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.95617,6.28552","3.00696,6.27343","3.06791,6.26135","3.12886,6.23717","3.12886,6.22508","3.19997,6.20091","3.34219,6.15256","3.41331,6.1163","3.53521,6.1163","3.60632,6.10421","3.60632,6.1163","3.67743,6.09212","3.7587,6.06795","3.83997,6.05586","3.92124,6.05586","4.00251,6.04377","4.01267,6.04377","4.18536,6.0196","4.3479,5.97125","4.42917,5.94707","4.51044,5.9229","4.63234,5.94707","4.63234,5.94707","4.71361,5.9229","4.72377,5.88663","4.72377,5.88663","5.08948,5.76576","5.18091,5.74158","5.18091,5.74158","5.27234,5.71741","5.34345,5.70532","5.35361,5.70532","5.35361,5.70532","5.35361,5.70532","5.88186,5.62071","5.97328,5.59653","6.1663,5.54818","6.2882,5.53609","6.30852,5.51192","6.39995,5.49983","6.41011,5.51192","6.51169,5.47566","6.61328,5.43939","6.69455,5.42731","6.78598,5.43939","6.86724,5.43939","6.8774,5.43939","6.97899,5.42731","7.16185,5.40313","7.24311,5.39104","7.32438,5.36687","7.41581,5.35478","7.41581,5.35478","7.6393,5.31852","7.80184,5.31852","7.90343,5.31852","7.99485,5.31852","8.09644,5.31852","8.14723,5.29434","8.23866,5.29434","8.41136,5.28226","8.49263,5.29434","8.5231,5.29434","8.60437,5.29434","8.60437,5.29434","8.6958,5.28226","8.79739,5.27017","8.88882,5.28226","8.9904,5.28226","9.09199,5.29434","9.29516,5.30643","9.36627,5.31852","9.40691,5.28226","9.39675,5.27017","9.39675,5.33061","9.80309,5.28226","9.80309,5.28226","9.90468,5.28226","9.91484,5.28226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.20888,6.28552","1.23935,6.29761","1.27999,6.32178","1.31047,6.33387","1.31047,6.33387","1.3511,6.34596","1.41205,6.37013","1.46285,6.37013","1.50348,6.37013","1.57459,6.35805","1.67618,6.38222","1.72697,6.37013","1.82856,6.35805","1.87935,6.35805","1.93014,6.37013","1.67618,6.38222","1.67618,6.38222","1.68634,6.38222","1.67618,6.38222","2.06221,6.39431","2.113,6.39431","2.17395,6.38222","2.17395,6.37013","2.2349,6.38222","2.36696,6.38222","2.44823,6.39431","2.50919,6.43057","2.57014,6.44266","2.06221,6.39431","2.06221,6.39431","2.06221,6.39431","2.06221,6.39431","2.88506,6.55145","2.96632,6.55145","2.96632,6.55145","3.03744,6.56354","3.17966,6.58771","3.28124,6.57562","3.35235,6.57562","3.41331,6.58771","3.50473,6.57562","3.586,6.57562","3.74854,6.57562","3.81965,6.57562","3.50473,6.57562","3.51489,6.57562","3.51489,6.57562","3.51489,6.57562","3.51489,6.57562","3.51489,6.57562","4.28695,6.67232","4.36822,6.67232","4.36822,6.67232","4.42917,6.68441","4.28695,6.67232","4.28695,6.67232","4.29711,6.67232","4.29711,6.67232","4.29711,6.67232","4.89647,6.7932","5.00821,6.84155","5.05901,6.86572","5.13012,6.90199","4.89647,6.7932","4.89647,6.7932","4.89647,6.78111","4.89647,6.7932","5.41456,7.04704","5.46535,7.0833","5.50599,7.11956","5.51614,7.11956","5.41456,7.04704","5.41456,7.04704","5.41456,7.04704","5.41456,7.04704","5.41456,7.04704","5.93265,7.32505","5.9936,7.33714","6.13582,7.3734","6.19677,7.3734","5.93265,7.32505","5.93265,7.32505","5.93265,7.32505","5.93265,7.32505","5.92249,7.32505","5.94281,7.32505","6.59296,7.45801","6.66407,7.48219","6.65391,7.48219","6.73518,7.49428","6.59296,7.45801","6.59296,7.45801","6.59296,7.45801","6.60312,7.4701","6.59296,7.45801","6.60312,7.4701","7.32438,7.60306","7.40565,7.60306","7.48692,7.59098","7.55803,7.57889","7.56819,7.57889","7.32438,7.60306","7.33454,7.60306","7.33454,7.60306","7.33454,7.61515","8.15739,7.50636","8.15739,7.50636","8.23866,7.49428","8.4012,7.4701","8.47231,7.4701","8.54342,7.4701","8.64501,7.4701","8.64501,7.4701","8.70596,7.4701","8.8685,7.43384","8.94977,7.40966","9.0412,7.39758","9.13262,7.36131","9.15294,7.36131","9.24437,7.32505","9.38659,7.30088","9.49833,7.24044","9.55929,7.22835","9.6304,7.20418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.8749,5.41522","2.88506,5.41522","2.88506,5.41522","2.88506,5.41522","2.88506,5.41522","2.89521,5.42731","2.93585,5.43939","2.95617,5.43939","2.8749,5.41522","2.90537,5.41522","2.89521,5.41522","2.93585,5.42731","3.02728,5.47566","3.06791,5.47566","3.1187,5.47566","3.1695,5.45148","3.25077,5.46357","3.30156,5.45148","3.43362,5.42731","3.47426,5.41522","3.25077,5.46357","3.2914,5.46357","3.2914,5.46357","3.32188,5.45148","3.60632,5.35478","3.68759,5.35478","3.7587,5.35478","3.81965,5.36687","3.60632,5.35478","3.65711,5.35478","3.73838,5.35478","3.78918,5.35478","4.23616,5.42731","4.30727,5.42731","4.29711,5.42731","4.37838,5.42731","4.54091,5.41522","4.23616,5.42731","4.30727,5.43939","4.35806,5.43939","4.37838,5.43939","4.41901,5.43939","4.88631,5.42731","4.95742,5.41522","5.03869,5.40313","5.13012,5.41522","5.13012,5.41522","5.22154,5.41522","4.88631,5.42731","4.95742,5.42731","5.03869,5.42731","5.11996,5.42731","5.72948,5.43939","5.80059,5.43939","5.94281,5.42731","6.03424,5.43939","6.10535,5.42731","6.1663,5.41522","6.1663,5.41522","6.23741,5.40313","6.35931,5.39104","5.72948,5.43939","5.81075,5.43939","5.88186,5.43939","5.88186,5.43939","6.59296,5.35478","6.72502,5.35478","6.80629,5.36687","6.85709,5.36687","6.9282,5.36687","7.00947,5.34269","7.08058,5.34269","7.19232,5.34269","7.00947,5.34269","7.07042,5.34269","7.12121,5.33061","7.12121,5.34269","7.39549,5.33061","7.55803,5.34269","7.62914,5.35478","7.71041,5.36687","7.78152,5.39104","7.39549,5.33061","7.4666,5.33061","7.42597,5.31852","7.48692,5.33061","8.19803,5.37896","8.28946,5.37896","8.29961,5.37896","8.38088,5.37896","8.19803,5.37896","8.2793,5.39104","8.37072,5.41522","8.49263,5.42731","8.49263,5.42731","8.91929,5.46357","9.08183,5.47566","9.20373,5.47566","9.31548,5.48774","9.40691,5.51192","9.46786,5.46357","9.54913,5.47566","9.74214,5.52401","9.83357,5.51192","9.46786,5.46357","9.46786,5.46357","9.46786,5.46357","9.47802,5.47566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.72697,5.58444","1.74729,5.58444","1.7676,5.59653","1.77776,5.60862","1.77776,5.59653","1.79808,5.62071","1.72697,5.58444","1.74729,5.59653","1.77776,5.60862","1.93014,5.64488","1.93014,5.64488","1.96062,5.65697","2.01141,5.64488","2.04189,5.66906","2.08252,5.69323","2.113,5.70532","2.16379,5.75367","2.19427,5.77785","2.26538,5.81411","2.31617,5.83828","2.16379,5.75367","2.16379,5.75367","2.16379,5.75367","2.16379,5.75367","2.16379,5.75367","2.55998,5.88663","2.60061,5.88663","2.65141,5.88663","2.66157,5.88663","2.7022,5.89872","2.55998,5.88663","2.55998,5.88663","2.55998,5.88663","2.55998,5.87455","2.55998,5.87455","3.04759,5.99542","3.17966,6.0196","3.26093,6.03168","3.33204,6.04377","3.39299,6.04377","3.39299,6.04377","3.4641,6.04377","3.59616,6.03168","3.67743,6.05586","3.74854,6.05586","3.82981,6.06795","3.83997,6.06795","3.67743,6.05586","3.67743,6.05586","3.67743,6.05586","3.67743,6.05586","3.67743,6.05586","3.67743,6.05586","4.33774,6.05586","4.43933,6.03168","4.50028,6.03168","4.56123,6.00751","4.60187,5.99542","4.33774,6.05586","4.33774,6.05586","4.33774,6.05586","4.33774,6.05586","4.33774,6.06795","4.3479,6.06795","4.99805,5.87455","5.04885,5.85037","5.16059,5.78993","5.22154,5.78993","4.99805,5.87455","5.00821,5.87455","5.01837,5.87455","5.00821,5.87455","5.4044,5.72949","5.46535,5.70532","5.51614,5.69323","5.56694,5.66906","5.4044,5.72949","5.4044,5.72949","5.4044,5.72949","5.4044,5.72949","5.89201,5.52401","5.95297,5.49983","5.95297,5.49983","6.01392,5.48774","5.89201,5.52401","5.90217,5.53609","5.91233,5.52401","5.90217,5.53609","5.91233,5.53609","5.91233,5.52401","6.50153,5.48774","6.56249,5.48774","6.62344,5.48774","6.70471,5.48774","6.70471,5.48774","6.50153,5.48774","6.48122,5.48774","6.49137,5.48774","6.49137,5.48774","6.48122,5.48774","7.24311,5.48774","7.32438,5.51192","7.50724,5.54818","7.24311,5.48774","7.24311,5.48774","7.24311,5.48774","7.24311,5.48774","7.25327,5.49983","7.90343,5.63279","7.9847,5.64488","8.07612,5.65697","8.17771,5.65697","8.18787,5.65697","8.36057,5.64488","8.53326,5.65697","8.62469,5.68114","8.72628,5.70532","8.78723,5.74158","8.78723,5.74158","8.8685,5.74158","8.87866,5.76576","8.88882,5.76576","9.27484,5.78993","9.35611,5.80202","9.35611,5.80202","9.44754,5.80202","9.38659,5.70532","9.73198,5.8262","9.81325,5.81411","9.90468,5.81411","9.90468,5.81411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
