"13.8056,8.70303","13.7751,8.69094","13.7243,8.70303","13.6837,8.69094","13.6837,8.70303","13.5923,8.69094","13.5415,8.69094","13.4907,8.69094","13.4297,8.70303","13.3789,8.67886","13.3688,8.67886","13.2774,8.66677","13.2164,8.70303","13.1453,8.69094","13.0742,8.66677","13.0031,8.65468","13.0031,8.65468","12.8608,8.60633","12.7796,8.59424","12.6983,8.57007","12.6272,8.55798","12.5459,8.55798","12.5358,8.55798","12.4951,8.50963","12.4139,8.50963","12.3631,8.50963","12.3631,8.49754","12.3631,8.49754","12.3631,8.50963","12.3732,8.49754","12.3631,8.49754","12.3732,8.49754","12.3732,8.50963","12.3732,8.49754","12.3732,8.50963","12.3529,8.49754","11.2659,8.54589","11.1948,8.55798","11.1237,8.57007","11.0221,8.57007","11.012,8.57007","10.9409,8.57007","10.9307,8.58215","10.9205,8.55798","10.6158,8.54589","10.565,8.55798","10.5548,8.55798","10.4634,8.57007","10.3821,8.58215","10.3313,8.55798","10.2805,8.5338","10.1688,8.54589","10.1688,8.54589","10.0672,8.50963","10.0266,8.49754","9.97579,8.48545","9.91484,8.46128","9.88436,8.44919","9.89452,8.44919","9.80309,8.42502","9.77262,8.42502","9.73198,8.41293","9.70151,8.40084","9.67103,8.41293","9.67103,8.40084","9.6304,8.42502","9.59992,8.42502","9.5796,8.42502","9.55929,8.42502","9.54913,8.42502","9.53897,8.42502","9.47802,8.40084","9.41707,8.40084","9.39675,8.38875","9.36627,8.37667","9.3358,8.36458","9.3358,8.36458","9.25453,8.35249","9.21389,8.32832","9.17326,8.29205","9.12246,8.25579","9.09199,8.21953","9.09199,8.21953","8.9904,8.15909","8.91929,8.13492","8.84818,8.12283","8.79739,8.12283","8.70596,8.12283","8.70596,8.12283","8.54342,8.13492","8.45199,8.147","8.37072,8.147","8.28946,8.147","8.20819,8.13492","8.19803,8.13492","8.04565,8.11074","7.94406,8.09865","7.82216,8.07448","7.72057,8.06239","7.60883,8.03822","7.60883,8.03822","7.40565,8.01404","7.29391,8.00195","7.172,8.00195","7.0501,8.02613","6.93836,8.03822","6.93836,8.03822","6.86724,8.06239","6.89772,8.03822","6.90788,8.09865","6.90788,8.11074","6.89772,8.12283","6.89772,8.12283","6.89772,8.12283","6.89772,8.12283","5.93265,8.09865","5.8209,8.11074","5.70916,8.11074","5.699,8.11074","5.62789,8.07448","5.5263,8.08657","5.42472,8.09865","5.31297,8.07448","5.22154,8.11074","5.20123,8.11074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.5155,8.58215","12.4545,8.55798","12.3834,8.54589","12.3123,8.52172","12.3021,8.52172","12.1599,8.47337","12.0685,8.44919","11.9567,8.42502","11.8551,8.42502","11.7637,8.4371","11.7434,8.4371","11.6926,8.42502","11.6012,8.41293","11.3777,8.47337","11.2761,8.47337","11.1745,8.49754","11.1644,8.49754","11.0323,8.41293","10.9205,8.38875","10.7885,8.38875","10.6666,8.40084","10.5548,8.41293","10.4939,8.49754","10.3517,8.4371","10.2196,8.42502","10.1383,8.41293","10.0164,8.41293","9.88436,8.42502","9.8742,8.4371","9.86405,8.41293","9.85389,8.40084","9.32564,8.5338","9.25453,8.5338","9.18342,8.5338","9.17326,8.5338","9.14278,8.52172","9.14278,8.52172","9.14278,8.52172","9.15294,8.5338","9.1631,8.5338","9.15294,8.5338","9.1631,8.52172","9.15294,8.5338","9.15294,8.52172","9.15294,8.52172","9.15294,8.5338","8.08628,8.4371","8.00501,8.4371","7.94406,8.42502","7.90343,8.42502","7.84247,8.42502","7.80184,8.4371","7.80184,8.4371","7.71041,8.41293","7.6901,8.40084","7.64946,8.38875","7.60883,8.36458","7.58851,8.3404","7.58851,8.3404","7.50724,8.29205","7.45645,8.26788","7.38534,8.23162","7.33454,8.20744","7.27359,8.17118","7.27359,8.17118","7.172,8.12283","7.10089,8.08657","7.02978,8.03822","6.95867,7.98987","6.8774,7.96569","6.86724,7.96569","6.69455,7.91734","6.59296,7.92943","6.51169,7.92943","6.43042,7.94152","6.32884,7.96569","6.31868,7.96569","6.12566,7.98987","6.02408,7.98987","5.92249,7.97778","5.81075,7.96569","5.70916,7.9536","5.699,7.9536","5.46535,7.94152","5.32313,7.92943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.9116,8.03822","12.8812,8.02613","12.8202,8.00195","12.7694,7.98987","12.7694,8.00195","12.6678,7.9536","12.5866,7.92943","12.5256,7.91734","12.4342,7.91734","12.3529,7.90525","12.3428,7.90525","12.2107,7.88108","12.1193,7.86899","12.038,7.89316","11.9669,7.90525","11.8856,7.92943","11.8755,7.94152","11.7536,8.00195","11.6824,8.02613","11.591,8.0503","11.5402,8.07448","11.4488,8.08657","11.4488,8.09865","11.337,8.11074","11.2355,8.11074","11.1644,8.11074","11.0831,8.11074","11.012,8.12283","10.9917,8.11074","10.8596,8.12283","10.7885,8.12283","10.7072,8.13492","10.6361,8.15909","10.565,8.18327","10.5548,8.18327","10.4228,8.20744","10.3517,8.21953","10.3009,8.21953","10.2501,8.23162","10.1891,8.2437","10.179,8.23162","10.0774,8.21953","10.0164,8.21953","9.94531,8.19535","9.88436,8.18327","9.82341,8.18327","9.82341,8.18327","9.73198,8.17118","9.65071,8.15909","9.59992,8.15909","9.54913,8.15909","9.49833,8.17118","9.49833,8.15909","9.41707,8.15909","9.39675,8.15909","9.36627,8.15909","9.32564,8.147","9.30532,8.13492","9.30532,8.147","9.26469,8.13492","9.24437,8.147","9.20373,8.13492","9.18342,8.147","9.15294,8.13492","9.15294,8.147","9.11231,8.147","9.07167,8.147","9.0412,8.147","9.00056,8.147","8.94977,8.147","8.93961,8.147","8.94977,8.15909","8.95993,8.17118","8.95993,8.15909","8.95993,8.15909","8.94977,8.147","8.94977,8.13492","8.33009,8.11074","8.24882,8.09865","8.15739,8.07448","8.07612,8.0503","8.00501,8.03822","7.9847,8.03822","7.90343,8.00195","7.812,7.94152","7.73073,7.90525","7.64946,7.86899","7.56819,7.84481","7.55803,7.83273","7.57835,7.8569","7.57835,7.86899","7.57835,7.88108","7.57835,7.86899","7.57835,7.88108","6.38979,7.9536","6.35931,7.90525","6.24757,7.90525","6.15614,8.0503","6.04439,8.11074","5.88186,8.147","5.86154,8.13492","5.85138,8.13492","5.85138,8.12283","5.85138,8.09865","5.85138,8.11074","5.86154,8.12283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.8812,7.45801","12.8304,7.45801","12.7694,7.45801","12.7085,7.45801","12.7085,7.45801","12.5967,7.4701","12.5256,7.45801","12.4647,7.45801","12.3834,7.45801","12.3326,7.4701","12.3224,7.4701","12.2005,7.49428","12.1294,7.49428","12.038,7.50636","11.9567,7.50636","11.8755,7.51845","11.8755,7.51845","11.7231,7.50636","11.6316,7.50636","11.5504,7.50636","11.4793,7.51845","11.398,7.51845","11.398,7.51845","11.2659,7.53054","11.1644,7.53054","11.0932,7.53054","11.0018,7.51845","10.9307,7.54263","10.9205,7.54263","10.7783,7.5668","10.6971,7.57889","10.6259,7.59098","10.5548,7.59098","10.4837,7.59098","10.4736,7.59098","10.3313,7.57889","10.2602,7.5668","10.1993,7.5668","10.1485,7.57889","10.0875,7.57889","10.0774,7.57889","9.97579,7.55471","9.91484,7.5668","9.84373,7.55471","9.78278,7.57889","9.73198,7.57889","9.72182,7.57889","9.64056,7.59098","9.5796,7.59098","9.52881,7.57889","9.4577,7.5668","9.40691,7.55471","9.40691,7.55471","9.29516,7.51845","9.26469,7.49428","9.20373,7.48219","9.14278,7.4701","9.10215,7.4701","9.09199,7.4701","8.98024,7.4701","8.91929,7.4701","8.84818,7.45801","8.80755,7.43384","8.75675,7.40966","8.74659,7.40966","8.64501,7.40966","8.5739,7.40966","8.51295,7.39758","8.45199,7.38549","8.39104,7.3734","8.38088,7.3734","8.23866,7.32505","8.15739,7.32505","8.08628,7.30088","8.00501,7.2767","7.92374,7.25253","7.91359,7.25253","7.77136,7.19209","7.67994,7.16791","7.57835,7.15582","7.4666,7.15582","7.37518,7.15582","7.36502,7.15582","7.36502,7.19209","7.3447,7.16791","6.94851,7.21626","6.86724,7.20418","6.77582,7.18","6.77582,7.18","6.71487,7.05912","6.61328,7.04704","6.47106,7.04704","6.34915,7.05912","6.23741,7.05912","6.21709,7.05912","6.1663,7.02286","6.23741,7.0833","6.25773,7.09539","6.25773,7.0833","6.24757,7.07121","6.24757,7.0833","6.25773,7.0833","6.23741,7.0833","4.8152,7.2767","4.70345,7.28879","4.60187,7.30088","4.60187,7.30088","4.37838,7.32505","4.25647,7.33714","4.13457,7.34923","4.02282,7.36131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.2818,6.9866","12.2107,6.9866","12.1294,6.99869","12.038,7.02286","12.0278,7.02286","11.8551,7.07121","11.7536,7.07121","11.6621,7.0833","11.5504,7.09539","11.4691,7.11956","11.459,7.13165","11.2558,7.10747","11.144,7.10747","11.0221,7.09539","10.9002,7.09539","10.7885,7.09539","10.7783,7.09539","10.8088,7.02286","10.4228,7.01077","10.3009,7.01077","10.1891,7.03495","10.0977,7.05912","10.0774,7.05912","10.0875,7.07121","10.0875,7.11956","10.0977,7.14374","10.0774,7.15582","10.0774,7.18","10.0774,7.19209","9.22405,7.04704","9.13262,7.05912","9.0412,7.07121","8.95993,7.09539","8.88882,7.11956","8.87866,7.11956","8.83802,7.13165","8.74659,7.14374","8.73644,7.16791","8.75675,7.18","8.26914,7.24044","8.26914,7.24044","8.13708,7.30088","8.05581,7.34923","7.97454,7.3734","7.90343,7.40966","7.80184,7.43384","7.80184,7.43384","7.71041,7.4701","7.62914,7.48219","7.54787,7.49428","7.44629,7.48219","7.37518,7.49428","7.35486,7.49428","7.2228,7.51845","6.99931,7.55471","6.9282,7.55471","6.82661,7.55471","6.7555,7.55471","6.76566,7.55471","6.5828,7.55471","6.45074,7.55471","6.31868,7.54263","6.19677,7.49428","6.07487,7.4701","6.02408,7.50636","5.80059,7.51845","5.64821,7.53054","5.5263,7.54263","5.39424,7.54263","5.38408,7.5668","5.38408,7.5668","5.37392,7.54263","5.45519,7.55471","5.46535,7.5668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.4647,6.53936","12.4139,6.52727","12.3529,6.51519","12.3021,6.51519","12.3021,6.51519","12.2107,6.5031","12.1396,6.5031","12.0888,6.51519","12.0177,6.52727","11.977,6.55145","11.9669,6.55145","11.845,6.57562","11.784,6.58771","11.7028,6.58771","11.6316,6.58771","11.5707,6.5998","11.5605,6.5998","11.4183,6.58771","11.337,6.58771","11.2659,6.57562","11.205,6.57562","11.1339,6.57562","11.1237,6.57562","11.012,6.5998","10.9205,6.61189","10.8291,6.58771","10.758,6.5998","10.6971,6.62397","10.6869,6.62397","10.5752,6.64815","10.504,6.66024","10.4329,6.67232","10.372,6.67232","10.311,6.67232","10.311,6.67232","10.1688,6.66024","10.118,6.64815","10.0469,6.64815","10.0063,6.66024","9.94531,6.66024","9.93516,6.67232","9.85389,6.66024","9.80309,6.66024","9.7523,6.66024","9.71167,6.66024","9.67103,6.66024","9.67103,6.66024","9.61008,6.67232","9.56944,6.6965","9.54913,6.70859","9.50849,6.73276","9.47802,6.76902","9.47802,6.76902","9.40691,6.82946","9.39675,6.86572","9.36627,6.90199","9.32564,6.92616","9.31548,6.96242","9.31548,6.96242","9.25453,7.01077","9.22405,7.04704","9.19357,7.05912","9.17326,7.07121","9.15294,7.09539","9.14278,7.09539","9.11231,7.14374","9.07167,7.16791","9.0412,7.18","9.00056,7.18","8.95993,7.19209","8.94977,7.19209","8.84818,7.18","8.78723,7.18","8.72628,7.16791","8.67548,7.16791","8.61453,7.15582","8.61453,7.15582","8.50279,7.14374","8.42152,7.14374","8.36057,7.13165","8.28946,7.11956","8.23866,7.11956","8.2285,7.11956","8.13708,7.19209","8.06597,7.20418","8.00501,7.21626","7.95422,7.22835","7.89327,7.22835","7.88311,7.22835","7.72057,7.21626","7.6393,7.21626","7.56819,7.21626","7.49708,7.21626","7.41581,7.20418","7.40565,7.20418","7.41581,7.15582","7.3447,7.13165","7.27359,7.13165","7.20248,7.10747","7.14153,7.09539","7.13137,7.09539","7.11105,7.13165","7.13137,7.13165","7.13137,7.11956","7.13137,7.10747","7.13137,7.10747","7.13137,7.10747","7.13137,7.11956","7.13137,7.10747","7.13137,7.10747","7.13137,7.10747","7.13137,7.10747","5.91233,7.26461","5.75995,7.2767","5.68884,7.2767","5.59741,7.2767","5.53646,7.2767","5.46535,7.26461","5.44503,7.26461","5.31297,7.25253","5.26218,7.24044","5.20123,7.25253","5.11996,7.24044","5.05901,7.26461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13.2062,6.51519","13.1758,6.5031","13.1554,6.49101","13.1047,6.49101","13.0843,6.49101","12.9929,6.49101","12.932,6.5031","12.8812,6.52727","12.7999,6.56354","12.7389,6.61189","12.7288,6.61189","12.6069,6.67232","12.5358,6.68441","12.4951,6.6965","12.424,6.70859","12.3428,6.74485","12.3326,6.74485","12.3021,6.78111","12.3021,6.81737","12.3021,6.81737","12.3123,6.80529","12.3123,6.80529","12.3123,6.80529","12.3224,6.81737","11.5199,6.85364","11.4386,6.87781","11.3269,6.8899","11.2253,6.90199","11.2151,6.91407","11.205,6.8899","11.2151,6.90199","11.205,6.91407","11.205,6.91407","11.2151,6.91407","11.2151,6.91407","11.205,6.91407","10.179,7.05912","10.0977,7.0833","10.0164,7.11956","9.925,7.14374","9.925,7.14374","9.89452,7.18","9.82341,7.19209","9.7523,7.18","9.67103,7.18","9.59992,7.18","9.31548,7.24044","9.17326,7.24044","9.07167,7.24044","9.00056,7.24044","8.91929,7.24044","8.84818,7.25253","8.84818,7.25253","8.70596,7.26461","8.66533,7.30088","8.61453,7.32505","8.55358,7.34923","8.50279,7.38549","8.43168,7.39758","8.2793,7.44593","8.18787,7.45801","8.08628,7.4701","7.9847,7.44593","7.87295,7.43384","7.86279,7.43384","7.74089,7.42175","7.62914,7.40966","7.53772,7.40966","7.43613,7.3734","7.33454,7.36131","7.28375,7.36131","7.08058,7.33714","6.93836,7.36131","6.81645,7.3734","6.68439,7.3734","6.56249,7.38549","6.54217,7.38549","6.56249,7.40966","6.52185,7.42175","6.49137,7.44593","6.4609,7.4701","6.45074,7.48219","5.68884,7.28879","5.41456,7.26461","5.2825,7.25253","5.15043,7.24044","5.03869,7.26461","4.89647,7.26461","4.88631,7.26461","4.67298,7.2767","4.47996,7.28879","4.33774,7.30088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.7694,6.04377","12.7491,6.04377","12.7186,6.04377","12.6678,6.04377","12.678,6.04377","12.5967,6.04377","12.5459,6.04377","12.5053,6.04377","12.4443,6.05586","12.3935,6.08003","12.3834,6.08003","12.2615,6.10421","12.2005,6.10421","12.1497,6.09212","12.0786,6.09212","12.0177,6.10421","12.0177,6.10421","12.0075,5.99542","11.9974,5.94707","12.0482,5.94707","11.6012,6.05586","11.5199,6.04377","11.5199,6.03168","11.5504,5.98333","11.6012,5.94707","11.591,5.91081","11.6012,5.77785","11.6012,5.76576","11.6012,5.77785","11.6012,5.76576","10.758,6.00751","10.6666,6.00751","10.565,5.99542","10.4736,5.98333","10.4736,5.98333","10.5447,5.85037","10.504,5.8262","10.4025,5.83828","10.3009,5.83828","10.2704,5.8262","10.2602,5.8262","9.77262,5.86246","9.76246,5.86246","9.77262,5.86246","9.76246,5.86246","9.76246,5.86246","9.76246,5.86246","9.78278,5.86246","9.02088,5.70532","8.94977,5.68114","8.85834,5.64488","8.77707,5.63279","8.76691,5.62071","8.76691,5.62071","8.76691,5.62071","8.70596,5.60862","8.6958,5.57236","8.70596,5.57236","8.19803,5.46357","8.04565,5.42731","7.95422,5.40313","7.87295,5.39104","7.79168,5.36687","7.70025,5.34269","7.6901,5.34269","7.52756,5.33061","7.43613,5.33061","7.43613,5.33061","7.35486,5.31852","7.25327,5.31852","7.24311,5.31852","7.27359,5.34269","7.27359,5.28226","7.25327,5.25808","7.25327,5.24599","6.68439,5.30643","6.68439,5.30643","6.67423,5.30643","6.68439,5.27017","6.65391,5.24599","6.65391,5.20973","6.66407,5.23391","5.9936,5.37896","5.98344,5.40313","5.9936,5.35478","6.00376,5.30643","5.9936,5.28226","5.95297,5.27017","5.95297,5.27017","5.95297,5.27017","5.11996,5.56027","5.02853,5.59653","4.92694,5.65697","4.83552,5.69323","4.82536,5.70532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.8405,5.46357","12.7796,5.43939","12.7085,5.42731","12.6374,5.41522","12.6374,5.41522","12.5155,5.40313","12.4443,5.40313","12.3631,5.42731","12.2716,5.45148","12.1904,5.48774","12.1802,5.48774","12.1193,5.42731","12.0888,5.39104","12.0075,5.37896","11.9364,5.34269","11.9059,5.30643","11.4082,5.49983","11.1644,5.45148","11.0323,5.43939","10.8901,5.42731","10.7682,5.42731","10.6463,5.42731","10.6361,5.42731","10.4126,5.45148","10.2805,5.46357","10.1485,5.48774","10.0164,5.49983","9.99611,5.51192","9.99611,5.51192","10.0063,5.54818","10.0164,5.53609","10.0063,5.53609","10.0164,5.54818","10.0164,5.54818","10.0164,5.54818","9.11231,5.45148","9.12246,5.45148","9.11231,5.45148","9.13262,5.46357","9.13262,5.46357","9.13262,5.46357","9.13262,5.43939","9.12246,5.43939","9.10215,5.43939","9.11231,5.47566","7.83232,5.36687","7.83232,5.36687","7.66978,5.34269","7.56819,5.34269","7.48692,5.33061","7.37518,5.31852","7.27359,5.29434","7.26343,5.29434","7.26343,5.25808","6.95867,5.27017","6.88756,5.27017","6.78598,5.27017","6.71487,5.27017","6.71487,5.28226","6.61328,5.29434","6.4609,5.30643","6.35931,5.30643","6.25773,5.29434","6.14598,5.27017","6.13582,5.25808","6.09519,5.30643","5.79043,5.23391","5.67868,5.22182","5.5771,5.20973","5.45519,5.23391","5.44503,5.24599","5.4044,5.25808","5.08948,5.25808","5.00821,5.27017","4.91678,5.29434","4.8152,5.30643","4.80504,5.30643","4.75425,5.33061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13.8056,5.57236","13.7954,5.58444","13.765,5.58444","13.7548,5.59653","13.7446,5.60862","13.7142,5.60862","13.6837,5.60862","13.6634,5.62071","13.6329,5.64488","13.6024,5.65697","13.6126,5.64488","13.5516,5.66906","13.5008,5.68114","13.4602,5.69323","13.4196,5.69323","13.3891,5.70532","13.3789,5.70532","13.3078,5.71741","13.2469,5.72949","13.1961,5.74158","13.1656,5.75367","13.1047,5.77785","13.0945,5.77785","13.0335,5.8262","12.9827,5.85037","12.9421,5.87455","12.9421,5.87455","12.9116,5.91081","12.9015,5.9229","12.8101,5.94707","12.7694,5.95916","12.7186,5.99542","12.6678,5.99542","12.6272,6.0196","12.6272,6.0196","12.5459,6.03168","12.5053,6.04377","12.4545,6.04377","12.424,6.05586","12.3834,6.06795","12.3732,6.05586","12.2818,6.06795","12.231,6.08003","12.1802,6.08003","12.1396,6.08003","12.0989,6.08003","12.0989,6.08003","12.0278,6.06795","11.9059,6.06795","11.8755,6.05586","11.8247,6.05586","11.784,6.05586","11.7739,6.05586","11.7129,6.0196","11.6824,5.98333","11.652,5.98333","11.6215,5.95916","11.6012,5.93498","11.6012,5.93498","11.5504,5.88663","11.5301,5.86246","11.4996,5.83828","11.4691,5.80202","11.3878,5.77785","11.3878,5.77785","11.3472,5.74158","11.3167,5.74158","11.2863,5.70532","11.2659,5.65697","11.2253,5.64488","11.2253,5.64488","11.144,5.58444","11.1034,5.56027","11.0729,5.53609","11.0323,5.51192","11.0018,5.49983","11.0018,5.51192","10.9307,5.47566","10.8698,5.46357","10.8291,5.42731","10.7885,5.41522","10.7682,5.39104","10.7682,5.39104","10.6869,5.35478","10.6564,5.34269","10.6361,5.31852","10.6158,5.29434","10.5853,5.27017","10.5752,5.27017","10.5244,5.24599","10.4736,5.23391","10.4532,5.22182","10.4228,5.20973","10.3821,5.20973","10.3821,5.20973","10.311,5.19764","10.2907,5.17347","10.2501,5.17347","10.2196,5.16138","10.1688,5.17347","10.1688,5.16138","10.0774,5.18556","10.0063,5.19764","9.96563,5.19764","9.90468,5.22182","9.84373,5.24599","9.83357,5.24599","9.72182,5.28226","9.67103,5.29434","9.61008,5.29434","9.55929,5.29434","9.50849,5.29434","9.49833,5.29434","9.39675,5.29434","9.34595,5.29434","9.27484,5.28226","9.22405,5.29434","9.15294,5.27017","9.15294,5.27017","9.09199,5.27017","9.0412,5.28226","8.98024,5.30643","8.91929,5.30643","8.85834,5.34269","8.83802,5.33061","8.80755,5.37896","8.83802,5.28226","8.8177,5.27017","8.80755,5.25808","8.79739,5.25808","8.79739,5.25808","8.80755,5.24599","8.80755,5.23391","8.80755,5.23391","8.80755,5.23391","8.8177,5.25808","7.67994,5.46357","7.49708,5.46357","7.41581,5.45148","7.33454,5.46357","7.23296,5.46357","7.14153,5.47566","7.15169,5.48774","6.95867,5.49983","6.8774,5.52401","6.78598,5.53609","6.68439,5.53609","6.59296,5.56027","6.5828,5.56027","6.42026,5.58444","6.32884,5.58444","6.22725,5.59653","6.12566,5.62071","6.03424,5.62071","6.02408,5.62071","5.88186,5.63279","5.77011,5.62071","5.699,5.63279","5.60757,5.62071","5.5263,5.64488","5.51614,5.64488","5.34345,5.64488","5.25202,5.64488","5.15043,5.64488","5.06916,5.66906","4.99805,5.68114","4.9879,5.66906","4.82536,5.70532","4.73393,5.69323","4.6425,5.70532","4.57139,5.70532","4.50028,5.71741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
