"3.1603,8.6727","3.2287,8.6696","3.2788,8.6546","3.2776,8.6649","3.3448,8.6427","3.3918,8.6213","3.5097,8.5961","3.5677,8.5776","3.6235,8.5557","3.6187,8.5571","3.6816,8.5354","3.732,8.5089","3.8611,8.4611","3.9113,8.4601","3.9739,8.4554","3.9771,8.4478","4.043,8.4349","4.1047,8.4365","4.2367,8.398","4.3073,8.3737","4.3594,8.3408","4.3712,8.3286","4.427,8.3262","4.4609,8.2876","4.5604,8.2353","4.6129,8.2066","4.6603,8.1844","4.6676,8.1875","4.7163,8.1571","4.7728,8.1242","4.9029,8.0446","4.9408,8.0299","4.9874,7.991","4.9887,7.9879","5.0405,7.9796","5.1104,7.9611","5.2366,7.92","5.3025,7.9039","5.3548,7.8555","5.3585,7.8451","5.4263,7.8274","5.4841,7.7974","5.5958,7.7635","5.6365,7.7153","5.6818,7.6833","5.6969,7.6912","5.7471,7.6538","5.7977,7.6291","5.9014,7.5869","5.9579,7.5863","6.0152,7.5749","6.0131,7.5713","6.0626,7.58","6.1233,7.5719","6.2271,7.5541","6.2931,7.5439","6.3555,7.5454","6.3644,7.5486","6.4343,7.5338","6.4928,7.521","6.6049,7.4838","6.6447,7.477","6.6937,7.477","6.7068,7.4736","6.7655,7.4743","6.8202,7.4439","6.9376,7.4196","7.0017,7.3871","7.0558,7.384","7.0519,7.3859","7.103,7.3799","7.1569,7.3732","7.2655,7.3526","7.3189,7.341","7.4016,7.3446","7.4016,7.3576","7.4549,7.3489","7.5185,7.355","7.6376,7.3615","7.699,7.3598","7.7625,7.374","7.7583,7.3644","7.8162,7.3652","7.8781,7.3743","7.9823,7.3832","8.033,7.39","8.0988,7.3756","8.1014,7.3794","8.1539,7.3838","8.2015,7.3777","8.3368,7.3701","8.3946,7.3694","8.4433,7.3416","8.4523,7.3496","8.5198,7.3526","8.5774,7.3298","8.6917,7.3103","8.7566,7.3306","8.8061,7.3296","8.8066,7.3364","8.8679,7.3326","8.9186,7.3382","9.0144,7.3321","9.0862,7.3161","9.143,7.3297","9.1497,7.3275","9.2215,7.3385","9.2845,7.3338","9.4039,7.3414","9.4835,7.3561","9.5569,7.3514","9.5775,7.356","9.6247,7.3393","9.7201,7.3486","9.8574,7.335","9.9373,7.3448","10.0111,7.3191","10.0139,7.326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.9422,8.2653","5.0463,8.2608","5.1419,8.249","5.1408,8.2443","5.2393,8.2409","5.3256,8.2079","5.4784,8.1632","5.6061,8.1441","5.6914,8.1236","5.6866,8.121","5.7698,8.0761","5.8573,8.034","6.0103,7.9982","6.1294,7.9683","6.2266,7.929","6.2323,7.9295","6.3432,7.9259","6.4131,7.8971","6.5746,7.8691","6.7333,7.8801","6.8107,7.8646","6.8172,7.8662","6.9353,7.8336","6.9957,7.8201","7.1662,7.8","7.2649,7.7782","7.3474,7.7631","7.3457,7.7776","7.4214,7.7528","7.5079,7.754","7.6634,7.7332","7.7659,7.7552","7.8452,7.7487","7.8482,7.7518","7.9157,7.7396","8.0023,7.7372","8.1552,7.7397","8.2603,7.7163","8.3444,7.694","8.3525,7.6878","8.4546,7.6704","8.5556,7.6575","8.7112,7.643","8.863,7.5974","8.964,7.5745","8.9768,7.5735","9.0689,7.5566","9.1755,7.5455","9.3396,7.5177","9.4773,7.4839","9.5682,7.4726","9.5889,7.4742","9.6915,7.479","9.8002,7.4676","9.9655,7.4211","10.0993,7.4241","10.1982,7.4161","10.2029,7.4167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.6924,8.1262","3.7968,8.1363","3.8727,8.1311","3.8716,8.1406","3.9688,8.1458","4.0484,8.1536","4.1985,8.1894","4.3141,8.217","4.3964,8.2297","4.3983,8.2209","4.475,8.2223","4.5533,8.2303","4.7114,8.2429","4.7909,8.222","4.8651,8.2354","4.868,8.2284","4.9391,8.2308","5.0181,8.2166","5.1694,8.2156","5.288,8.1762","5.3588,8.1515","5.3664,8.1493","5.4447,8.151","5.5101,8.1305","5.6604,8.1138","5.7291,8.1094","5.7906,8.1139","5.7966,8.1135","5.86,8.0997","5.9126,8.0948","6.0132,8.0648","6.0772,8.043","6.1344,8.0385","6.1321,8.0322","6.1858,8.017","6.2456,7.9948","6.3564,7.9661","6.4122,7.9537","6.4685,7.942","6.4561,7.933","6.525,7.9289","6.5829,7.9284","6.6993,7.8943","6.7482,7.8843","6.8079,7.8882","6.8238,7.8783","6.8767,7.8791","6.9421,7.869","7.0772,7.8677","7.1405,7.8602","7.2085,7.8669","7.2148,7.8591","7.287,7.8615","7.35,7.8531","7.4877,7.8384","7.5624,7.8276","7.6691,7.8374","7.6694,7.8416","7.7501,7.8304","7.8279,7.831","7.9973,7.7895","8.0877,7.7958","8.1799,7.7923","8.1857,7.7934","8.2813,7.7944","8.3629,7.7932","8.536,7.8223","8.6455,7.8346","8.7271,7.852","8.7178,7.8552","8.8017,7.87","8.8893,7.8827","9.0614,7.9131","9.1294,7.9122","9.2323,7.9418","9.2416,7.9427","9.3089,7.9508","9.4036,7.9617","9.5746,7.9729","9.6477,8.0149","9.7271,8.0076","9.726,8.0074","9.7948,8.0144","9.8935,8.0387","10.0526,8.0623","10.1337,8.0786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.6963,7.5055","4.7917,7.508","4.88,7.4927","4.8786,7.4857","4.9911,7.4756","5.0971,7.4375","5.2738,7.3762","5.4117,7.3722","5.5184,7.3518","5.5196,7.3666","5.62,7.3728","5.7244,7.3935","5.9103,7.4076","6.0721,7.399","6.2047,7.3529","6.1935,7.3608","6.3284,7.3573","6.4717,7.3455","6.4717,7.3455","6.669,7.3703","6.8306,7.2979","6.8898,7.2793","6.9929,7.3031","7.0763,7.2858","7.2506,7.2695","7.3636,7.2318","7.4856,7.2173","7.4825,7.2244","7.5697,7.1925","7.6627,7.1716","7.8498,7.1447","7.9417,7.157","8.0286,7.1657","8.0296,7.1636","8.1279,7.168","8.2338,7.1462","8.4202,7.1144","8.5322,7.0875","8.6208,7.0583","8.6177,7.0572","8.6978,7.0529","8.8042,7.0221","8.9805,7.0385","9.1455,7.0026","9.2751,7.0103","9.2735,7.0107","9.3752,7.0148","9.478,7.0361","9.6798,6.9983","9.8384,6.9933","9.9423,7.0182","9.9456,7.0167","10.0433,7.0289","10.1828,7.0696","10.3634,7.0984","10.5309,7.1617","10.6515,7.1317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5.5662,7.9332","5.7053,7.9409","5.8331,7.9574","5.8347,7.9585","5.9747,7.9838","6.0879,7.981","6.3313,7.9811","6.5307,7.9753","6.6512,7.9359","6.6514,7.9329","6.7724,7.893","6.8932,7.8504","7.1091,7.7466","7.2738,7.6962","7.4186,7.6763","7.4152,7.6564","7.559,7.6284","7.6855,7.6067","7.9216,7.5202","8.0985,7.5331","8.2022,7.4816","8.1952,7.4801","8.3141,7.4334","8.4397,7.3747","8.6577,7.2834","8.7939,7.2279","8.9414,7.1798","8.9329,7.1786","9.0555,7.135","9.1714,7.0933","9.4049,7.0008","9.5736,6.9611","9.6865,6.9193","9.6868,6.9206","9.8177,6.9053","9.9534,6.9065","10.1825,6.8942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.9926,7.6622","4.1445,7.7049","4.2752,7.7321","4.265,7.7319","4.4128,7.7315","4.5542,7.7399","4.6832,7.6931","4.9248,7.7214","5.1169,7.7159","5.1343,7.7342","5.2547,7.7144","5.3866,7.7415","5.594,7.7733","5.7376,7.7713","5.8657,7.7831","5.8597,7.7737","5.9582,7.7709","6.0629,7.7542","6.251,7.7339","6.3597,7.7109","6.4576,7.6589","6.449,7.6536","6.5525,7.6277","6.6527,7.5913","6.8337,7.5228","6.9434,7.5149","7.0677,7.5032","7.0651,7.5061","7.1631,7.5031","7.2848,7.514","7.4931,7.4667","7.6362,7.4649","7.738,7.4553","7.7453,7.4469","7.8147,7.4341","7.8911,7.4162","8.0332,7.3953","8.1112,7.3623","8.2144,7.3478","8.204,7.346","8.307,7.3393","8.3877,7.3352","8.6003,7.3168","8.6807,7.3005","8.7728,7.2886","8.7755,7.2986","8.8743,7.2734","8.9516,7.2635","9.1384,7.1979","9.2252,7.1409","9.3223,7.0922","9.3218,7.086","9.4156,7.0333","9.5241,7.0171","9.7065,7.0033","9.8721,6.9992","10.0065,7.0232","10.0102,7.0065","10.1413,7.023","10.2391,6.9976","10.4341,6.9211","10.5391,6.9074","10.6333,6.8563","10.6506,6.8437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.155,7.0128","3.2368,6.9828","3.3004,6.9786","3.3046,6.9718","3.3812,6.9683","3.4367,6.9723","3.5785,6.9747","3.6593,7.0043","3.7232,7.0137","3.7248,7.014","3.8144,7.0332","3.8841,7.0286","4.0601,7.0438","4.1381,7.0291","4.2271,7.019","4.233,7.0289","4.3202,7.0409","4.4109,7.036","4.5887,7.0496","4.6991,7.0512","4.7646,7.0625","4.7653,7.0702","4.8715,7.0818","4.9542,7.074","5.1178,7.1023","5.2,7.1267","5.2939,7.1145","5.3037,7.147","5.3734,7.1487","5.4622,7.1671","5.605,7.1572","5.6883,7.1846","5.7699,7.1819","5.7623,7.1831","5.8294,7.1728","5.9099,7.208","6.0388,7.2467","6.1348,7.2762","6.2107,7.2954","6.2136,7.2937","6.2941,7.3131","6.3755,7.3362","6.5585,7.3743","6.6217,7.3837","6.696,7.4116","6.7051,7.4145","6.7919,7.4189","6.8632,7.4076","7.0237,7.4139","7.1089,7.426","7.2021,7.4378","7.2057,7.4294","7.2851,7.4476","7.3601,7.4279","7.5184,7.4138","7.6039,7.4057","7.7051,7.3907","7.702,7.397","7.7944,7.3963","7.8866,7.3878","8.077,7.3898","8.161,7.3808","8.2501,7.3911","8.2544,7.3762","8.3734,7.3781","8.4528,7.383","8.6706,7.3958","8.7653,7.4343","8.8597,7.4371","8.8616,7.4443","8.9422,7.4456","9.0392,7.458","9.2418,7.4733","9.3246,7.4723","9.4495,7.5054","9.451,7.5205","9.5469,7.5223","9.6422,7.5596","9.8475,7.5925","9.9423,7.5932","10.0342,7.6069","10.0343,7.6079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.6321,6.8903","4.7307,6.8936","4.7956,6.9034","4.8055,6.898","4.9177,6.9102","5.011,6.9275","5.1519,6.9335","5.3259,6.9521","5.4239,6.9495","5.416,6.9548","5.5178,6.9528","5.6111,6.943","5.8059,6.9578","5.9209,6.9628","6.0238,6.952","6.0299,6.9485","6.121,6.945","6.2057,6.9444","6.3509,6.9662","6.4174,7.005","6.4625,7.0046","6.4655,7.0213","6.5374,7.0247","6.5968,7.0176","6.714,7.0181","6.7819,7.0091","6.8358,7.0217","6.853,7.0172","6.9106,7.0272","6.967,7.0235","7.0807,7.0383","7.1483,7.0539","7.2185,7.0481","7.2118,7.0491","7.2555,7.0608","7.3301,7.0789","7.4563,7.0975","7.5476,7.095","7.6208,7.0858","7.6154,7.0903","7.6901,7.0935","7.763,7.0857","7.9312,7.0838","7.9916,7.0637","8.0739,7.0516","8.0672,7.0607","8.1386,7.059","8.1938,7.0584","8.3288,7.0898","8.3973,7.0906","8.4671,7.0991","8.4729,7.0951","8.5303,7.1224","8.5945,7.1072","8.7107,7.1086","8.8053,7.1163","8.8801,7.1292","8.8877,7.1258","8.9657,7.1251","9.0542,7.1191","9.1877,7.0927","9.2664,7.0816","9.3341,7.0817","9.3449,7.0724","9.4211,7.0841","9.5019,7.0782","9.6615,7.0926","9.7413,7.1162","9.8231,7.1097","9.8178,7.1213","9.8909,7.1225","9.9561,7.1204","10.0876,7.1113","10.1635,7.1126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.9686,6.6155","4.0445,6.6155","4.1259,6.6056","4.1241,6.611","4.2152,6.5872","4.2892,6.5905","4.4511,6.565","4.5765,6.5997","4.6349,6.5925","4.6371,6.5948","4.7185,6.5898","4.7999,6.5842","4.9615,6.6002","5.053,6.5819","5.1319,6.5729","5.1317,6.5737","5.2242,6.5702","5.2869,6.5689","5.427,6.5661","5.5239,6.5406","5.5797,6.5283","5.5803,6.5351","5.6616,6.5463","5.7068,6.524","5.8359,6.5299","5.8922,6.5088","5.9526,6.4888","5.956,6.4923","6.0136,6.4833","6.064,6.4802","6.1398,6.4473","6.1724,6.4259","6.2059,6.4049","6.2068,6.4071","6.2377,6.3774","6.2687,6.3643","6.3404,6.3335","6.3645,6.3207","6.3919,6.3076","6.3951,6.2981","6.4346,6.2992","6.4603,6.28","6.5551,6.2627","6.5801,6.2503","6.6275,6.2557","6.6325,6.2505","6.6803,6.2573","6.7288,6.2526","6.821,6.2653","6.8903,6.2739","6.9429,6.2828","6.9486,6.2767","6.9977,6.2963","7.055,6.2882","7.1429,6.2938","7.1996,6.3175","7.2481,6.3352","7.2516,6.3447","7.3058,6.3761","7.3387,6.3899","7.423,6.4138","7.4356,6.4301","7.4828,6.4443","7.4733,6.4493","7.5352,6.4718","7.5535,6.4932","7.6636,6.5127","7.7045,6.5303","7.7378,6.5399","7.7472,6.5463","7.7838,6.5463","7.8405,6.5527","7.9261,6.5485","7.971,6.5434","8.0549,6.5522","8.0628,6.5622","8.1099,6.5483","8.1777,6.5677","8.29,6.5967","8.3726,6.5973","8.4184,6.6265","8.425,6.6192","8.4808,6.6318","8.5556,6.6613","8.6844,6.6964","8.7414,6.6998","8.8139,6.7159","8.8129,6.7202","8.8848,6.7217","8.9486,6.7514","9.0854,6.7764","9.1496,6.7835","9.2324,6.784","9.2189,6.7799","9.2907,6.7981","9.3478,6.7878","9.4714,6.8021","9.5522,6.8085","9.6239,6.8084","9.6257,6.8137","9.6989,6.8113","9.7888,6.837","9.9054,6.8401","9.9764,6.8424","10.0522,6.8741","10.052,6.8778","10.1369,6.8969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5.0704,6.178","5.2331,6.1681","5.3641,6.1291","5.3532,6.1461","5.4833,6.1222","5.6261,6.131","5.8092,6.1352","5.9803,6.1379","6.0969,6.1394","6.1042,6.152","6.2061,6.1357","6.316,6.1405","6.5181,6.1496","6.649,6.0893","6.7578,6.0867","6.7736,6.081","6.9056,6.0775","7.005,6.0651","7.2198,6.0621","7.3635,6.0648","7.4579,6.0588","7.4634,6.06","7.5685,6.0495","7.6811,6.0566","7.8805,6.0448","8.0145,6.0432","8.1279,6.0482","8.1251,6.0392","8.2309,6.0379","8.3382,6.0381","8.5209,6.0189","8.6532,6.0438","8.7467,6.0493","8.7473,6.0438","8.8334,6.0682","8.9266,6.0889","9.0416,6.139","9.1409,6.183","9.2161,6.2156","9.2235,6.2159","9.2939,6.2603","9.3774,6.2992","9.5544,6.3618","9.6878,6.4225","9.7872,6.4387","9.7912,6.4486","9.9073,6.4651","9.9867,6.477","10.1664,6.4631","10.2692,6.48","10.3504,6.4881","10.3582,6.4794","10.4571,6.4866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
