"2.686,8.7273","2.7209,8.7007","2.7546,8.6841","2.7561,8.6841","2.7795,8.6569","2.8702,8.6358","2.9506,8.6177","3.001,8.6254","3.0558,8.6422","3.0546,8.6253","3.1216,8.641","3.2394,8.6587","3.3347,8.6653","3.4062,8.6772","3.5009,8.6629","3.5017,8.6642","3.5847,8.6626","3.7501,8.6426","3.8407,8.6033","3.9474,8.5948","4.0355,8.577","4.0344,8.5747","4.1373,8.5706","4.3394,8.5152","4.4428,8.5145","4.5796,8.5216","4.6684,8.5036","4.6869,8.5132","4.7989,8.5237","4.7989,8.5237","5.1816,8.5436","5.2865,8.5367","5.4101,8.5393","5.4073,8.5307","5.5192,8.5316","5.7336,8.5203","5.8741,8.4885","5.9777,8.4927","6.1109,8.4596","6.1118,8.4579","6.2347,8.4298","6.4334,8.3936","6.58,8.4017","6.6884,8.3646","6.8022,8.3543","6.8142,8.3616","6.9118,8.338","7.1212,8.2911","7.2204,8.2785","7.3056,8.2761","7.4132,8.2791","7.4091,8.2708","7.4858,8.2695","7.6465,8.2639","7.7472,8.2622","7.8349,8.2554","7.9081,8.237","7.9099,8.2408","7.9867,8.2383","8.149,8.2099","8.1995,8.2035","8.2731,8.2157","8.3501,8.235","8.3415,8.2349","8.4088,8.2305","8.5415,8.2289","8.6299,8.2283","8.7097,8.221","8.7848,8.2023","8.775,8.2128","8.8745,8.2205","9.0192,8.1917","9.0871,8.1821","9.1562,8.1878","9.2407,8.1843","9.2435,8.1872","9.3147,8.1781","9.4752,8.1971","9.5443,8.2088","9.626,8.2126","9.7186,8.222","9.7081,8.2196","9.7878,8.2229","9.9435,8.2191","10.021,8.1877","10.1154,8.1997","10.1884,8.1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.8345,8.4576","1.8612,8.4525","1.8898,8.4555","1.8955,8.4483","1.91,8.44","1.9654,8.4296","1.9975,8.4168","2.0427,8.4144","2.0632,8.4057","2.072,8.3984","2.1056,8.3885","2.2101,8.3898","2.2598,8.3764","2.3162,8.3766","2.3997,8.3715","2.3874,8.3751","2.4634,8.3737","2.5916,8.3867","2.6553,8.391","2.7491,8.4007","2.8066,8.4113","2.8147,8.4064","2.8997,8.4317","3.0314,8.4177","3.1275,8.4171","3.187,8.4202","3.2618,8.403","3.2813,8.4049","3.3416,8.3899","3.4739,8.3677","3.5772,8.36","3.671,8.3525","3.754,8.3308","3.7675,8.326","3.8436,8.3144","4.0163,8.3076","4.1186,8.3341","4.2255,8.3342","4.3182,8.3377","4.3184,8.3442","4.4176,8.3389","4.6062,8.2933","4.7223,8.2531","4.8317,8.2668","4.9355,8.2561","4.9324,8.2722","5.0136,8.2557","5.1894,8.2357","5.2936,8.22","5.4017,8.1986","5.5154,8.2027","5.5017,8.2019","5.598,8.1839","5.7767,8.1953","5.9053,8.1843","5.9866,8.2022","6.0699,8.194","6.0683,8.1951","6.1541,8.1829","6.2872,8.1623","6.3586,8.1607","6.4135,8.1628","6.4783,8.1591","6.4851,8.1632","6.5294,8.156","6.6414,8.1394","6.6855,8.1433","6.7486,8.1331","6.796,8.1384","6.7955,8.1373","6.8667,8.1532","6.9687,8.1519","7.0341,8.1453","7.0908,8.1468","7.1627,8.1368","7.1621,8.1469","7.2236,8.1276","7.3912,8.1601","7.428,8.1507","7.5142,8.1538","7.5958,8.1693","7.6003,8.1583","7.6626,8.1666","7.7908,8.1739","7.8893,8.1755","7.9447,8.1745","8.029,8.1602","8.0268,8.1719","8.1005,8.1554","8.2187,8.1197","8.2734,8.0956","8.3522,8.082","8.4265,8.0953","8.426,8.0703","8.5094,8.077","8.6639,8.0587","8.736,8.0825","8.8097,8.0806","8.8862,8.0942","8.8803,8.0921","8.9548,8.074","9.143,8.07","9.2263,8.0453","9.3222,8.0564","9.4072,8.0431","9.4079,8.044","9.491,8.0419","9.6659,7.9937","9.736,7.9955","9.8394,7.9915","9.9379,7.9835","9.9473,7.9773","10.0307,7.9803","10.2132,7.923","10.2827,7.9512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.4323,7.9348","2.4531,7.9313","2.4909,7.903","2.4854,7.9016","2.531,7.8935","2.627,7.8768","2.6864,7.8797","2.7416,7.8927","2.8197,7.9211","2.8211,7.9124","2.9026,7.9294","3.054,7.9732","3.1625,7.9961","3.2647,7.9997","3.3465,8.0024","3.3477,8.0095","3.4573,8.0041","3.6107,7.9526","3.7326,7.918","3.8452,7.9042","3.9263,7.882","3.9286,7.8772","4.0207,7.8636","4.1942,7.8196","4.3176,7.8244","4.443,7.8271","4.5184,7.8152","4.5348,7.8237","4.6459,7.8364","4.7972,7.8829","4.9685,7.8538","5.0792,7.8534","5.1688,7.8374","5.177,7.8449","5.2583,7.8375","5.2583,7.8375","5.5682,7.8487","5.7296,7.8322","5.8367,7.8195","5.8479,7.8163","5.9659,7.8018","6.139,7.8077","6.3005,7.7557","6.4197,7.7728","6.5763,7.7788","6.5684,7.7796","6.6613,7.7771","6.8413,7.763","6.9618,7.7831","7.0631,7.7679","7.1419,7.7468","7.1464,7.739","7.211,7.7204","7.3692,7.7055","7.4601,7.6791","7.5376,7.6732","7.5968,7.6735","7.6022,7.6836","7.6731,7.6913","7.78,7.7334","7.8425,7.7619","7.9186,7.7974","7.9818,7.8333","7.9895,7.8316","8.0578,7.8438","8.2131,7.8522","8.298,7.8675","8.3815,7.8514","8.4689,7.8295","8.4689,7.829","8.5804,7.8208","8.7462,7.7791","8.8399,7.7578","8.9671,7.7141","9.0387,7.6889","9.0515,7.6862","9.1271,7.6531","9.3053,7.587","9.3801,7.5573","9.5029,7.5164","9.61,7.4945","9.6074,7.4999","9.7077,7.4737","9.8583,7.3715","10.0086,7.3401","10.0845,7.2832","10.1795,7.2215","10.1808,7.2203","10.2727,7.161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.3158,7.8732","1.3451,7.8509","1.369,7.8309","1.3858,7.8255","1.4052,7.7859","1.4737,7.7213","1.5458,7.6721","1.5799,7.6329","1.6341,7.599","1.6362,7.6038","1.6975,7.5847","1.8323,7.5407","1.9162,7.5302","1.991,7.5155","2.0754,7.5139","2.0808,7.4977","2.1698,7.5013","2.3323,7.4746","2.4097,7.4522","2.5102,7.4564","2.5899,7.4297","2.5861,7.435","2.6853,7.4319","2.8627,7.384","2.9476,7.3773","3.0314,7.3765","3.1447,7.3611","3.1314,7.3563","3.2503,7.3641","3.4216,7.4135","3.5527,7.4004","3.663,7.4103","3.7812,7.4164","3.7864,7.4265","3.8978,7.433","3.8978,7.433","4.2559,7.4286","4.3696,7.4388","4.5044,7.4383","4.491,7.4317","4.5963,7.4148","4.7768,7.421","4.9503,7.3775","5.0609,7.3925","5.1961,7.3993","5.1972,7.3995","5.3092,7.4119","5.4935,7.4177","5.6543,7.4303","5.7764,7.4306","5.8842,7.4534","5.8923,7.435","5.9831,7.438","6.1696,7.4407","6.2778,7.4812","6.3873,7.4722","6.4527,7.4981","6.4556,7.4891","6.5299,7.5125","6.685,7.5723","6.7494,7.5884","6.8176,7.6208","6.8941,7.6414","6.9042,7.6384","6.9712,7.6345","7.1123,7.6749","7.1886,7.7092","7.2538,7.7319","7.3228,7.7404","7.3198,7.7296","7.3963,7.7523","7.5274,7.769","7.624,7.7849","7.7115,7.8073","7.7822,7.8154","7.7827,7.8089","7.8628,7.8262","8.0266,7.8977","8.1358,7.9289","8.2487,7.9355","8.3456,7.9368","8.3392,7.9396","8.4392,7.9251","8.6121,7.897","8.7414,7.8451","8.8231,7.8044","8.9182,7.7853","8.9263,7.7764","9.028,7.7393","9.1795,7.6561","9.2673,7.5976","9.3537,7.5752","9.4626,7.5417","9.4794,7.5424","9.5646,7.5114","9.7364,7.4713","9.8581,7.4074","9.9572,7.383","10.0453,7.3379","10.0491,7.335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.679,7.3459","2.7268,7.3563","2.774,7.347","2.7739,7.3553","2.8377,7.3551","2.9659,7.3793","3.0506,7.4126","3.1282,7.4265","3.2182,7.4379","3.2195,7.4381","3.3225,7.4261","3.4851,7.3499","3.5978,7.3443","3.7137,7.3328","3.8096,7.3117","3.8184,7.3085","3.9329,7.3048","4.1077,7.3009","4.2566,7.3159","4.3758,7.3182","4.4859,7.3629","4.4852,7.3367","4.5991,7.3511","4.5991,7.3511","4.8263,7.4356","4.8263,7.4356","5.2203,7.32","5.2203,7.3127","5.34,7.2951","5.5099,7.2856","5.671,7.262","5.8284,7.2384","5.9973,7.2431","5.981,7.243","6.1095,7.2425","6.288,7.3065","6.4441,7.3619","6.617,7.4181","6.7341,7.4705","6.7425,7.4656","6.8532,7.499","7.0453,7.5093","7.2151,7.5581","7.3197,7.5951","7.4289,7.5759","7.435,7.5871","7.5439,7.5731","7.7238,7.5421","7.8409,7.5644","7.9277,7.5633","8.002,7.5685","8.0067,7.5862","8.0701,7.5966","8.2283,7.6701","8.3239,7.7404","8.4131,7.7976","8.515,7.8458","8.5271,7.8481","8.6295,7.9134","8.7998,7.9696","8.9639,8.0223","9.0827,8.0428","9.1896,8.0499","9.1957,8.0488","9.2996,8.0268","9.4667,7.9649","9.5435,7.9364","9.6175,7.8789","9.6933,7.8311","9.7044,7.8243","9.7816,7.7975","9.9487,7.6988","10.0224,7.6608","10.1152,7.6172","10.2044,7.5896","10.2069,7.5924","10.2852,7.5607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.1866,6.7528","2.232,6.7569","2.2793,6.7412","2.2812,6.7586","2.3339,6.7553","2.4067,6.7383","2.4375,6.7361","2.4872,6.7212","2.5329,6.7051","2.5302,6.7036","2.5835,6.6842","2.6971,6.6393","2.7476,6.6392","2.8165,6.6519","2.8975,6.6654","2.8927,6.6703","2.9775,6.7094","3.071,6.7421","3.2266,6.7654","3.3128,6.8143","3.4252,6.8215","3.4161,6.8248","3.5287,6.8286","3.5287,6.8286","3.8238,6.7922","3.9021,6.7839","4.0169,6.7694","4.0133,6.7631","4.1151,6.7585","4.1151,6.7585","4.4674,6.7333","4.5576,6.7568","4.6672,6.7533","4.6689,6.7591","4.7688,6.768","4.9162,6.7704","5.0512,6.7766","5.1944,6.7847","5.2813,6.7758","5.2852,6.7735","5.3666,6.7796","5.5149,6.7575","5.6297,6.742","5.698,6.751","5.7756,6.7793","5.7886,6.7713","5.8616,6.7842","6.0155,6.8174","6.0901,6.8627","6.1481,6.8928","6.1997,6.941","6.2124,6.9428","6.2524,6.9815","6.3367,7.0888","6.4393,7.1477","6.512,7.1717","6.5614,7.1922","6.5672,7.1931","6.6281,7.213","6.7623,7.2384","6.8056,7.2237","6.8739,7.2425","6.947,7.2573","6.9463,7.2574","6.999,7.2576","7.0996,7.2284","7.1522,7.2346","7.204,7.2461","7.254,7.249","7.2525,7.2463","7.3103,7.2799","7.3974,7.3464","7.4565,7.3723","7.5107,7.4112","7.558,7.4362","7.5533,7.4362","7.619,7.4686","7.7266,7.529","7.798,7.5348","7.8622,7.5553","7.9457,7.5577","7.9474,7.57","8.0199,7.5624","8.1592,7.5511","8.2736,7.5425","8.3417,7.522","8.4383,7.4898","8.4494,7.4981","8.5244,7.4609","8.6322,7.3701","8.7385,7.3253","8.8414,7.2763","8.9463,7.2419","8.947,7.2411","9.0215,7.1996","9.1288,7.0972","9.2622,7.0651","9.362,7.0312","9.457,7.0304","9.4709,7.0312","9.5651,7.0118","9.7138,6.9568","9.8695,6.9362","9.9813,6.8963","10.0958,6.8408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.1328,6.2735","3.2063,6.2384","3.2671,6.2179","3.2619,6.209","3.3372,6.2017","3.4562,6.1236","3.5452,6.0956","3.6189,6.0774","3.6747,6.062","3.6851,6.0624","3.7575,6.0347","3.9054,6.0386","3.9951,6.0176","4.07,6.0426","4.1575,6.027","4.174,6.0182","4.2636,6.003","4.4361,5.9669","4.5048,5.946","4.5997,5.9125","4.6801,5.8925","4.6767,5.8821","4.7694,5.8547","4.9392,5.7994","5.0383,5.761","5.1561,5.7252","5.2476,5.704","5.2327,5.6913","5.3452,5.6663","5.549,5.6381","5.6531,5.6171","5.7521,5.5813","5.8667,5.5651","5.8663,5.5711","5.9688,5.5543","6.1587,5.5139","6.281,5.4926","6.3994,5.4705","6.5005,5.4566","6.5034,5.4549","6.6138,5.4352","6.8098,5.4219","6.8922,5.3997","6.9794,5.4255","7.0779,5.4086","7.086,5.4178","7.1767,5.3942","7.3562,5.3367","7.4487,5.3271","7.5233,5.3198","7.6281,5.2936","7.6263,5.2896","7.7028,5.2914","7.8768,5.2823","8.0018,5.2837","8.0915,5.2902","8.1823,5.2807","8.1714,5.2879","8.2793,5.2877","8.4606,5.2863","8.5412,5.2808","8.6315,5.268","8.7268,5.2686","8.7241,5.2645","8.8156,5.2637","8.993,5.2547","9.0971,5.2836","9.1632,5.2645","9.2679,5.2686","9.2679,5.2732","9.3773,5.2782","9.5798,5.2758","9.6719,5.2757","9.7673,5.2601","9.872,5.2657","9.8602,5.2681","9.969,5.2574","10.1969,5.2461","10.2922,5.237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.2983,6.2995","1.3411,6.3227","1.3588,6.3305","1.3643,6.3294","1.3971,6.3453","1.5013,6.3617","1.5573,6.36","1.6089,6.3597","1.6603,6.3462","1.6672,6.3505","1.7268,6.3411","1.846,6.3358","1.8922,6.3415","1.9214,6.3334","1.9415,6.3383","1.9605,6.3379","1.9795,6.3523","2.0526,6.3461","2.0942,6.3415","2.1513,6.3375","2.2149,6.3375","2.21,6.336","2.2753,6.3306","2.408,6.3406","2.4625,6.3498","2.5501,6.3804","2.6102,6.4006","2.614,6.3857","2.6807,6.4305","2.7957,6.4753","2.8841,6.495","2.9641,6.5018","3.0512,6.5036","3.0486,6.5082","3.1293,6.5047","3.247,6.5463","3.3427,6.5451","3.4253,6.5622","3.4798,6.5738","3.4893,6.5577","3.5728,6.5609","3.7249,6.5617","3.804,6.5601","3.8965,6.5836","3.9857,6.6061","3.9717,6.601","4.0438,6.6232","4.2034,6.6261","4.2783,6.6735","4.3659,6.6654","4.4639,6.6813","4.4709,6.674","4.5288,6.6804","4.6651,6.6913","4.7392,6.7157","4.8088,6.7133","4.8873,6.719","4.8756,6.7243","4.9575,6.737","5.0759,6.7777","5.1373,6.8161","5.2131,6.8543","5.263,6.889","5.263,6.9014","5.3074,6.9232","5.4151,7.0034","5.4627,7.0647","5.5211,7.0833","5.5764,7.127","5.5743,7.1276","5.6475,7.1623","5.7505,7.2345","5.8155,7.2478","5.8856,7.2468","5.9406,7.2782","5.9359,7.2723","6.006,7.2807","6.1474,7.3093","6.2201,7.3269","6.2926,7.3374","6.3628,7.3566","6.3651,7.3544","6.4326,7.383","6.5232,7.4004","6.6129,7.4266","6.6734,7.4365","6.7337,7.4614","6.734,7.4619","6.803,7.4887","6.9602,7.5216","7.0366,7.5254","7.1112,7.5677","7.2336,7.5778","7.2218,7.597","7.3236,7.5965","7.4938,7.581","7.6056,7.5746","7.6788,7.5423","7.7542,7.5571","7.7513,7.5455","7.8356,7.5215","7.9738,7.5026","8.0644,7.4768","8.1556,7.4693","8.2299,7.4328","8.2414,7.4525","8.3329,7.4356","8.4677,7.4072","8.5562,7.4248","8.6436,7.4168","8.7215,7.4109","8.736,7.4183","8.7955,7.4177","8.9562,7.3704","9.0545,7.3575","9.1436,7.3221","9.2468,7.3042","9.2602,7.2963","9.3355,7.2728","9.509,7.2402","9.5838,7.2242","9.6497,7.2083","9.7254,7.1898","9.7219,7.1762","9.8027,7.1258","9.9771,7.0823","10.0631,7.0465","10.1351,7.0121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.8712,5.4081","2.8757,5.4078","2.884,5.4274","2.885,5.4014","2.8924,5.4218","2.9337,5.4253","2.9397,5.4336","2.966,5.4263","2.9904,5.4441","2.9949,5.4542","3.0235,5.4524","3.0895,5.4535","3.1357,5.4644","3.1786,5.4527","3.2269,5.4311","3.2238,5.4316","3.2924,5.4169","3.405,5.3767","3.4547,5.3757","3.5065,5.3603","3.5563,5.3548","3.5679,5.3582","3.6091,5.3406","3.7374,5.324","3.823,5.3248","3.8992,5.3379","3.9698,5.3419","3.9706,5.3485","4.0454,5.3718","4.1557,5.4009","4.2223,5.417","4.2752,5.4232","4.3585,5.4158","4.3544,5.4244","4.4184,5.4208","4.5808,5.4169","4.6663,5.4265","4.7482,5.4134","4.8055,5.4204","4.8179,5.4102","4.8734,5.4084","5.0102,5.3996","5.0925,5.3788","5.1736,5.374","5.2534,5.3907","5.2662,5.3818","5.3464,5.3854","5.4938,5.3991","5.5781,5.4024","5.6439,5.4142","5.7295,5.4085","5.7255,5.417","5.7846,5.414","5.9615,5.4011","6.0348,5.39","6.1156,5.3887","6.1735,5.3773","6.169,5.381","6.2421,5.3762","6.363,5.3497","6.4175,5.3432","6.5081,5.3358","6.586,5.3348","6.5827,5.3316","6.662,5.3276","6.7987,5.3187","6.8933,5.3553","6.9395,5.3404","7.0136,5.3378","7.0047,5.3456","7.0755,5.3431","7.1848,5.3421","7.271,5.3332","7.3344,5.3231","7.3915,5.3112","7.403,5.3185","7.4576,5.3174","7.6093,5.333","7.6975,5.3414","7.7789,5.3583","7.8473,5.3668","7.8441,5.3651","7.9207,5.3807","8.0993,5.3832","8.1653,5.3837","8.2633,5.3891","8.3602,5.3933","8.3719,5.3908","8.46,5.3926","8.6062,5.3943","8.6845,5.3944","8.7989,5.4079","8.8879,5.3998","8.8924,5.4166","8.9941,5.4157","9.1514,5.4119","9.2821,5.4364","9.3937,5.4528","9.4672,5.4655","9.4782,5.4758","9.5668,5.4846","9.7405,5.5095","9.8635,5.5103","9.9484,5.5265","10.0497,5.5185","10.0452,5.526","10.1394,5.5414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.7731,5.5441","1.7931,5.5474","1.8073,5.5482","1.8191,5.553","1.8452,5.5596","1.8853,5.5818","1.9134,5.5888","1.9211,5.6096","1.9539,5.6177","1.9642,5.6191","1.9942,5.6387","2.0604,5.6742","2.0972,5.6961","2.1322,5.7257","2.1678,5.7419","2.1639,5.7439","2.1932,5.7681","2.2738,5.8027","2.3209,5.831","2.3779,5.8425","2.4119,5.8585","2.4185,5.8571","2.4605,5.8629","2.5576,5.8825","2.6104,5.886","2.6647,5.8913","2.7114,5.8873","2.7041,5.8923","2.7632,5.8957","2.8883,5.9327","2.9321,5.9517","2.9908,5.9687","3.0442,5.986","3.0586,5.9809","3.1136,6.0015","3.234,6.0232","3.3181,6.0515","3.3893,6.0509","3.4773,6.0542","3.4648,6.0585","3.5536,6.0587","3.6868,6.0438","3.7619,6.0364","3.8619,6.0294","3.9181,6.0447","3.9255,6.0473","4.0057,6.0563","4.1327,6.0731","4.2078,6.0636","4.281,6.0706","4.336,6.0582","4.3386,6.0566","4.3798,6.0547","4.4905,6.0199","4.5548,6.0176","4.6145,6.0085","4.6419,5.9897","4.6579,5.9864","4.7169,5.9683","4.8189,5.9457","4.8772,5.9261","4.9452,5.9123","5.0032,5.8958","5.0149,5.8958","5.0552,5.8706","5.1648,5.8126","5.2166,5.8102","5.2757,5.7696","5.3336,5.7556","5.3267,5.7532","5.3989,5.7481","5.5015,5.7127","5.5696,5.6956","5.623,5.6732","5.6609,5.6488","5.6582,5.6448","5.7168,5.6212","5.831,5.569","5.9021,5.5454","5.9529,5.5246","6.0201,5.5009","6.0206,5.5006","6.0876,5.4771","6.2139,5.454","6.2873,5.4514","6.3522,5.4554","6.414,5.4636","6.4218,5.4687","6.4785,5.47","6.6023,5.4522","6.6619,5.4509","6.732,5.4627","6.8163,5.477","6.8034,5.4591","6.8855,5.4686","7.0328,5.4476","7.1081,5.4618","7.1829,5.4805","7.2512,5.5045","7.2512,5.5018","7.3477,5.5189","7.5025,5.5796","7.6045,5.582","7.6993,5.6146","7.7988,5.6154","7.7936,5.6102","7.8837,5.6323","8.0514,5.6432","8.1364,5.6386","8.2326,5.6516","8.3363,5.6631","8.3328,5.6588","8.422,5.682","8.5684,5.698","8.6908,5.7209","8.7876,5.7476","8.8907,5.7569","8.8882,5.7604","8.9722,5.7554","9.1316,5.7828","9.2531,5.792","9.3552,5.7982","9.4202,5.8101","9.4313,5.809","9.5101,5.8127","9.6265,5.8006","9.7853,5.8076","9.898,5.8027","9.9867,5.8064","9.9965,5.8078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
