"13.7373,8.7231","13.6932,8.7319","13.6391,8.7273","13.6344,8.7337","13.548,8.7275","13.4983,8.7167","13.451,8.7252","13.3858,8.7334","13.3215,8.7178","13.3291,8.7205","13.2202,8.711","13.163,8.6688","13.0946,8.669","13.0052,8.6342","12.9441,8.6322","12.942,8.6338","12.7925,8.5709","12.7186,8.5622","12.6333,8.5604","12.5775,8.5324","12.4891,8.5327","12.4828,8.5346","12.3387,8.555","12.2322,8.5538","12.1497,8.5569","12.046,8.5555","11.9427,8.5882","11.9465,8.5819","11.7958,8.5816","11.7145,8.5792","11.6121,8.5719","11.544,8.5801","11.4661,8.5831","11.4606,8.5839","11.2855,8.5963","11.1944,8.5905","11.114,8.6002","11.0404,8.6126","10.9403,8.6095","10.9287,8.5947","10.7694,8.5883","10.6943,8.6072","10.6083,8.6024","10.5428,8.6308","10.484,8.6457","10.4796,8.6519","10.3823,8.6782","10.3031,8.6589","10.2541,8.656","10.1882,8.6333","10.143,8.6226","10.1383,8.6313","10.0364,8.6098","9.9977,8.5838","9.9405,8.5616","9.8973,8.5537","9.8535,8.5316","9.8599,8.5305","9.7804,8.5121","9.7276,8.5024","9.6757,8.5042","9.6493,8.488","9.6177,8.4891","9.6236,8.4887","9.5709,8.5098","9.5456,8.5136","9.5212,8.5063","9.5115,8.5083","9.4926,8.502","9.4862,8.5042","9.4173,8.4708","9.3903,8.4775","9.3637,8.4589","9.3359,8.4593","9.3032,8.4493","9.3023,8.4509","9.2095,8.4164","9.1763,8.4023","9.149,8.3702","9.0932,8.3257","9.0676,8.2936","9.076,8.2777","8.9661,8.2399","8.8754,8.2133","8.8164,8.2009","8.7524,8.2051","8.6741,8.1851","8.6584,8.1928","8.5097,8.2168","8.4054,8.2124","8.3313,8.2224","8.2352,8.2015","8.1715,8.1864","8.1647,8.1875","7.9932,8.2104","7.8934,8.1687","7.7825,8.1459","7.666,8.1382","7.5566,8.1021","7.5585,8.1062","7.3833,8.0758","7.2305,8.0672","7.1203,8.0668","7.0035,8.0958","6.8849,8.1081","6.8865,8.1064","6.8865,8.1064","6.572,8.1086","6.4148,8.159","6.335,8.1549","6.2294,8.1593","6.2304,8.173","6.2304,8.173","5.8831,8.2076","5.783,8.1811","5.6562,8.2133","5.5393,8.1972","5.5362,8.1908","5.5362,8.1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.3707,8.5581","12.2898,8.5422","12.2106,8.5222","12.2081,8.5297","12.0613,8.4555","11.9474,8.4196","11.8632,8.4135","11.7492,8.4174","11.6718,8.4271","11.6518,8.4185","11.4844,8.478","11.3445,8.502","11.2248,8.5143","11.1168,8.5255","11.0312,8.5441","11.0193,8.5464","10.8114,8.5426","10.7008,8.5397","10.5858,8.5505","10.4781,8.5511","10.3467,8.5613","10.3475,8.5702","10.1157,8.5664","9.9885,8.572","9.8691,8.5631","9.7463,8.5707","9.6084,8.5777","9.5834,8.5999","9.4234,8.5919","9.3244,8.5908","9.2299,8.5885","9.1704,8.5825","9.0839,8.5962","9.0858,8.5858","8.901,8.5802","8.8006,8.5956","8.7276,8.599","8.6493,8.5936","8.5697,8.5835","8.573,8.5816","8.3847,8.5217","8.2994,8.5084","8.2243,8.4946","8.1541,8.4864","8.0922,8.4797","8.0836,8.4913","7.9804,8.4847","7.922,8.4744","7.8822,8.4623","7.8225,8.4621","7.8028,8.473","7.7973,8.4761","7.6815,8.4691","7.6611,8.4497","7.632,8.4322","7.5714,8.4132","7.5532,8.3722","7.5576,8.3842","7.4781,8.3278","7.4453,8.32","7.335,8.268","7.3064,8.2427","7.25,8.2065","7.2442,8.2055","7.1423,8.1536","7.0557,8.1264","7.005,8.0724","6.9165,8.0214","6.8292,8.0047","6.8496,7.9982","6.6519,7.9341","6.5552,7.958","6.476,7.9739","6.3769,7.9985","6.276,8.0133","6.2871,8.0146","6.0521,8.0434","5.9895,8.0413","5.8983,8.0324","5.7857,8.0065","5.665,7.9889","5.6781,7.9943","5.4426,7.9882","5.2776,7.9642","5.1516,7.9444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.778,8.0835","12.7281,8.0739","12.6516,8.0558","12.6491,8.0634","12.5429,8.0121","12.4741,7.9863","12.4145,7.9785","12.3298,7.9859","12.2606,7.9715","12.2611,7.9659","12.1007,7.9523","12.0109,7.9254","11.9277,7.9332","11.8428,7.9776","11.7776,7.9904","11.7769,8.0132","11.627,8.057","11.5631,8.0861","11.49,8.1195","11.4348,8.149","11.3536,8.1865","11.3626,8.1622","11.2363,8.1937","11.1393,8.1646","11.0896,8.1822","10.982,8.1714","10.903,8.1774","10.9123,8.1793","10.7757,8.1806","10.6892,8.2082","10.6235,8.2244","10.5453,8.2399","10.4796,8.246","10.4756,8.248","10.3139,8.2749","10.2729,8.2865","10.1929,8.3038","10.1539,8.3236","10.0835,8.3138","10.0869,8.2992","9.9695,8.2806","9.8948,8.2809","9.8261,8.2507","9.7482,8.2453","9.6925,8.2393","9.6857,8.2345","9.5879,8.2278","9.5238,8.2229","9.4751,8.2271","9.4106,8.2017","9.3707,8.2152","9.3734,8.2227","9.2764,8.2148","9.2579,8.2211","9.2254,8.2041","9.1942,8.2054","9.1882,8.1904","9.1888,8.1952","9.1283,8.1913","9.1074,8.1986","9.0737,8.1864","9.0483,8.1993","9.0173,8.1987","9.0102,8.1991","8.9575,8.2014","8.9064,8.2021","8.8862,8.1864","8.8407,8.1672","8.7884,8.1599","8.7795,8.1618","8.6398,8.1361","8.5582,8.1213","8.4962,8.1081","8.4113,8.1385","8.3162,8.1356","8.3158,8.1269","8.1018,8.1232","7.9733,8.1148","7.8687,8.1017","7.7531,8.0604","7.6673,8.0292","7.649,8.037","7.4529,7.9856","7.3597,7.9817","7.2952,7.9659","7.2057,7.9415","7.1109,7.9081","7.1046,7.9084","6.8949,7.9175","6.7128,7.9489","6.5859,7.9555","6.4553,7.9662","6.2914,8.0176","6.3157,8.0247","6.1489,7.9902","5.9852,8.0617","5.7733,8.0875","5.6188,8.0668","5.4764,8.0829","5.4691,8.083","5.4691,8.083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.7335,7.5807","12.671,7.5839","12.5991,7.5866","12.6045,7.5795","12.4833,7.5781","12.4102,7.5768","12.3517,7.5795","12.2869,7.574","12.2088,7.5976","12.2027,7.5942","12.0692,7.6263","12.0085,7.6016","11.9147,7.6354","11.8263,7.6216","11.7557,7.6369","11.7555,7.6378","11.6234,7.6226","11.5228,7.6308","11.4461,7.63","11.3657,7.6265","11.296,7.6455","11.2873,7.646","11.1599,7.656","11.0557,7.6605","10.9828,7.6529","10.8786,7.6505","10.8202,7.665","10.806,7.6528","10.674,7.6713","10.5812,7.7051","10.5037,7.7065","10.4159,7.7191","10.3462,7.7222","10.361,7.7219","10.1926,7.6919","10.149,7.6884","10.0814,7.6889","10.0281,7.6911","9.9639,7.6805","9.961,7.6878","9.8519,7.6559","9.7756,7.691","9.7189,7.6873","9.6598,7.6917","9.6182,7.6861","9.6016,7.7029","9.5164,7.7126","9.451,7.7113","9.3937,7.6955","9.3219,7.6821","9.2915,7.674","9.2814,7.6854","9.1678,7.6195","9.1432,7.6082","9.0762,7.5978","9.014,7.5784","8.9527,7.5685","8.9566,7.5791","8.8279,7.5674","8.7836,7.5626","8.7,7.5633","8.654,7.5146","8.5955,7.5097","8.6058,7.5107","8.4926,7.5051","8.418,7.5032","8.359,7.5043","8.2894,7.4874","8.2245,7.4923","8.2431,7.4983","8.0759,7.4442","7.9925,7.4433","7.9206,7.4179","7.8459,7.3805","7.7674,7.3568","7.7587,7.3469","7.5955,7.2888","7.4958,7.2829","7.4098,7.2604","7.2843,7.2674","7.1868,7.2663","7.1869,7.2673","6.9962,7.272","6.8508,7.28","6.7613,7.276","6.6782,7.2798","6.5714,7.2684","6.5771,7.2781","6.368,7.2365","6.2097,7.2313","6.0682,7.2222","5.9148,7.2188","5.8046,7.2084","5.7849,7.209","5.5908,7.2087","5.4576,7.2325","5.3188,7.2268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.1367,6.9877","12.0407,6.9904","11.9449,6.9935","11.9448,7.0094","11.7769,7.0194","11.6828,7.0605","11.5768,7.0651","11.4713,7.105","11.3891,7.1252","11.3758,7.1149","11.159,7.0994","11.0466,7.0984","10.9249,7.0937","10.8118,7.0877","10.6858,7.0761","10.6737,7.0883","10.4563,7.0607","10.3102,7.0559","10.1888,7.0782","10.0713,7.0919","9.9694,7.1142","9.9565,7.1194","9.7444,7.1191","9.6087,7.1118","9.4786,7.0974","9.3648,7.0785","9.2431,7.0901","9.2425,7.0895","9.0465,7.0717","8.9365,7.1084","8.8586,7.1179","8.7636,7.1374","8.6961,7.1601","8.6967,7.1702","8.5238,7.2273","8.4584,7.2107","8.3811,7.2705","8.3155,7.2935","8.2438,7.3291","8.2261,7.3306","8.101,7.3966","8.0262,7.4317","7.9442,7.4433","7.8521,7.5128","7.7556,7.5243","7.7486,7.5276","7.5969,7.5595","7.4988,7.5619","7.4047,7.568","7.2932,7.5889","7.2158,7.6045","7.2138,7.5989","7.0332,7.6171","6.9499,7.6196","6.8675,7.6312","6.7924,7.6213","6.7171,7.6169","6.7052,7.6168","6.5205,7.6069","6.3881,7.6045","6.2218,7.5933","6.1184,7.5622","5.9624,7.5425","5.9815,7.5306","5.7797,7.5466","5.6028,7.5579","5.449,7.5674","5.3282,7.5836","5.1706,7.6113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.3373,6.5237","12.2783,6.5227","12.2196,6.5188","12.2309,6.5206","12.1192,6.4984","12.0611,6.4902","12.0054,6.5009","11.9349,6.5335","11.897,6.5511","11.9013,6.5632","11.7796,6.5815","11.7126,6.5911","11.6236,6.5876","11.5492,6.599","11.4755,6.6","11.4704,6.6007","11.3275,6.586","11.2586,6.5793","11.1692,6.5906","11.1124,6.5907","11.022,6.587","11.0417,6.5773","10.9169,6.6102","10.8408,6.6085","10.7625,6.6448","10.6914,6.6515","10.6362,6.6782","10.6295,6.6818","10.508,6.7084","10.4469,6.6947","10.3686,6.7199","10.3108,6.7224","10.2427,6.7363","10.2497,6.732","10.0909,6.7193","10.0552,6.697","9.9721,6.7063","9.9373,6.7149","9.8744,6.7035","9.8748,6.7213","9.7779,6.7122","9.7223,6.7217","9.671,6.7066","9.6273,6.7061","9.5987,6.7165","9.5993,6.7165","9.541,6.7156","9.5049,6.7481","9.4745,6.7558","9.4247,6.7844","9.4108,6.8256","9.4128,6.8248","9.3142,6.8882","9.322,6.9005","9.2849,6.9562","9.25,6.9821","9.244,6.9974","9.2358,7.009","9.1648,7.0651","9.1397,7.0959","9.1054,7.1152","9.0832,7.1318","9.057,7.1551","9.0731,7.1527","9.0358,7.1936","8.9779,7.2286","8.9419,7.2395","8.9086,7.2527","8.8582,7.2616","8.8587,7.2525","8.7435,7.2464","8.6724,7.244","8.6194,7.2334","8.5612,7.2229","8.5154,7.2151","8.5098,7.2101","8.3711,7.2071","8.3068,7.1887","8.2375,7.1815","8.165,7.1682","8.1242,7.1715","8.1196,7.167","7.9993,7.1764","7.9075,7.2237","7.8506,7.2319","7.791,7.2467","7.7384,7.2378","7.7163,7.2423","7.5748,7.2252","7.4873,7.2304","7.4047,7.2336","7.3247,7.2191","7.2522,7.2097","7.2445,7.2109","7.0977,7.1937","7.0163,7.1776","6.9192,7.1602","6.8574,7.1615","6.7809,7.1497","6.7765,7.1488","6.6258,7.1799","6.5402,7.1885","6.4438,7.2103","6.3604,7.2242","6.2859,7.2395","6.2847,7.2403","6.1568,7.285","6.0789,7.3057","6.0079,7.3068","5.9546,7.3058","5.8989,7.3159","5.8873,7.3179","5.7394,7.3185","5.6572,7.3377","5.5643,7.3271","5.4848,7.3291","5.4265,7.3126","5.4151,7.3189","5.3067,7.3035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13.1747,6.5679","13.1368,6.5459","13.072,6.548","13.0677,6.541","12.9703,6.5413","12.895,6.5543","12.8438,6.5742","12.7624,6.6312","12.6879,6.6711","12.6969,6.668","12.5561,6.7326","12.4735,6.7521","12.3885,6.7515","12.303,6.7786","12.2272,6.8094","12.2185,6.8084","12.0397,6.8354","11.9394,6.8338","11.8499,6.8714","11.7638,6.8667","11.6714,6.8776","11.6596,6.8823","11.4696,6.9167","11.3559,6.9373","11.2829,6.9636","11.1623,6.9865","11.0745,7.0097","11.0664,7.0051","10.8841,7.0146","10.758,7.0172","10.6471,7.0192","10.5411,7.0399","10.4384,7.0398","10.4396,7.0523","10.2532,7.0132","10.134,7.0378","10.0301,7.062","9.9454,7.0892","9.8679,7.1364","9.85,7.1302","9.6858,7.1794","9.6037,7.204","9.477,7.2072","9.4124,7.2343","9.3135,7.2343","9.3069,7.2376","9.1289,7.2752","9.0503,7.2668","8.9684,7.2529","8.8861,7.2544","8.8315,7.2701","8.8296,7.2645","8.693,7.2727","8.6403,7.3005","8.5884,7.3462","8.5124,7.3663","8.4817,7.4087","8.4751,7.4074","8.3029,7.4477","8.221,7.4681","8.0915,7.4529","7.987,7.4425","7.8774,7.4182","7.8816,7.4268","7.6973,7.4236","7.5572,7.395","7.4498,7.408","7.3584,7.3525","7.2345,7.349","7.2282,7.3495","7.0295,7.3453","6.8477,7.361","6.7522,7.3718","6.6189,7.3758","6.4951,7.3727","6.4997,7.3761","6.4997,7.3761","6.1295,7.3815","5.9672,7.3773","5.8214,7.3371","5.7054,7.3263","5.7099,7.3267","5.7099,7.3267","5.4611,7.4867","5.4611,7.4867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.7197,6.0218","12.6772,6.0392","12.6428,6.026","12.6422,6.0356","12.5676,6.0178","12.5235,6.0391","12.4697,6.0209","12.4055,6.0444","12.3588,6.0597","12.3595,6.0696","12.2302,6.082","12.1699,6.0848","12.087,6.0999","12.0039,6.0854","11.9282,6.1068","11.9302,6.1165","11.7795,6.0795","11.7068,6.0699","11.6145,6.0593","11.5454,6.0591","11.4594,6.0459","11.4638,6.0582","11.3276,6.0417","11.2199,6.0163","11.1376,6.0145","11.0482,6.0079","10.9497,6.0053","10.9479,6.0065","10.783,5.9935","10.6837,5.9938","10.5819,5.9927","10.4722,5.9802","10.3903,5.9652","10.3936,5.9703","10.1876,5.9271","10.0785,5.907","9.9803,5.9055","9.8965,5.8703","9.8043,5.8598","9.793,5.8547","9.6353,5.8209","9.5142,5.7996","9.4077,5.7693","9.3168,5.761","9.2079,5.7461","9.198,5.7461","9.0497,5.6852","8.951,5.6846","8.8626,5.6563","8.7781,5.6317","8.7031,5.6056","8.6957,5.6032","8.5203,5.5454","8.4623,5.5322","8.376,5.5111","8.2856,5.4858","8.2181,5.4677","8.2166,5.4679","8.0757,5.4195","7.9882,5.4213","7.902,5.3979","7.8138,5.359","7.7344,5.3427","7.7283,5.3448","7.5582,5.3465","7.4624,5.3331","7.365,5.3153","7.2768,5.3171","7.1774,5.3212","7.1851,5.3218","6.9846,5.2956","6.8961,5.3069","6.8013,5.3043","6.7038,5.3139","6.6083,5.3391","6.6162,5.3325","6.4128,5.3736","6.3214,5.3882","6.2268,5.4061","6.1136,5.4113","6.0245,5.4097","6.0299,5.4081","5.83,5.4259","5.6868,5.4238","5.6068,5.4238","5.5043,5.4507","5.3901,5.4557","5.3854,5.4591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.7109,5.4106","12.6389,5.3975","12.5686,5.3952","12.5673,5.3837","12.4501,5.3829","12.3591,5.3762","12.2938,5.4041","12.2078,5.4317","12.126,5.4426","12.1138,5.4722","11.926,5.486","11.8067,5.496","11.6836,5.4884","11.5364,5.4897","11.4453,5.4856","11.4361,5.4885","11.2212,5.453","11.0311,5.4407","10.9057,5.4156","10.7916,5.415","10.6749,5.4044","10.6671,5.4068","10.4689,5.4423","10.297,5.4622","10.1744,5.4777","10.0174,5.4799","9.8763,5.508","9.8803,5.5007","9.8803,5.5007","9.4826,5.4801","9.3715,5.4804","9.2433,5.4654","9.1348,5.4535","9.13,5.4529","8.9348,5.3553","8.7747,5.3431","8.6478,5.3406","8.5443,5.3513","8.4185,5.3391","8.4231,5.3391","8.2139,5.3419","8.0889,5.3231","7.97,5.3372","7.8733,5.3508","7.7573,5.3438","7.7405,5.3371","7.5695,5.329","7.4757,5.3088","7.3826,5.3071","7.263,5.2906","7.1758,5.2827","7.1759,5.2741","6.994,5.2481","6.8968,5.2607","6.8348,5.243","6.7382,5.2727","6.665,5.2587","6.654,5.2677","6.4912,5.2631","6.3983,5.2599","6.2897,5.2573","6.1799,5.2455","6.0542,5.2319","6.0436,5.2351","5.8247,5.2416","5.6795,5.24","5.5541,5.2131","5.4246,5.2182","5.3058,5.2289","5.3091,5.2412","5.0905,5.2618","5.0068,5.2865","4.9146,5.2944","4.823,5.3233","4.7209,5.346","4.7182,5.3505","4.5,5.3736","4.4378,5.3898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13.7564,5.5938","13.7442,5.6011","13.7222,5.6159","13.7178,5.6108","13.6869,5.627","13.6662,5.6403","13.6295,5.6269","13.5935,5.6476","13.5784,5.6635","13.5846,5.6794","13.5188,5.6636","13.4853,5.664","13.4315,5.6815","13.4047,5.6744","13.3767,5.7045","13.372,5.7051","13.298,5.706","13.2526,5.7118","13.1944,5.7317","13.1435,5.7503","13.0969,5.7609","13.0981,5.7674","13.0066,5.8182","12.9644,5.8398","12.9342,5.8538","12.8656,5.8764","12.826,5.9155","12.8315,5.9146","12.7461,5.962","12.7015,5.9706","12.6461,5.9906","12.6118,6.0192","12.5647,6.0219","12.5621,6.0235","12.462,6.0391","12.4223,6.046","12.3767,6.0616","12.3433,6.0624","12.3021,6.0687","12.2906,6.0724","12.1941,6.0544","12.1393,6.0579","12.0905,6.0516","12.044,6.0603","11.9943,6.062","11.9948,6.0621","11.9248,6.0642","11.8635,6.0548","11.8224,6.0484","11.7726,6.0357","11.7321,6.0276","11.7338,6.0269","11.6455,5.9815","11.6284,5.9598","11.5856,5.9366","11.5578,5.9094","11.5449,5.8812","11.5376,5.8914","11.4967,5.8443","11.4525,5.8288","11.4245,5.78","11.4056,5.743","11.3671,5.7169","11.3822,5.712","11.3104,5.6906","11.2961,5.6629","11.2645,5.6383","11.2463,5.599","11.2097,5.5812","11.2056,5.577","11.1248,5.5194","11.0745,5.5001","11.0399,5.4666","11.0203,5.4514","10.9863,5.4414","10.9804,5.4352","10.8947,5.425","10.8516,5.3819","10.811,5.3629","10.7503,5.355","10.7377,5.319","10.751,5.3122","10.6629,5.2758","10.6221,5.2713","10.6067,5.2443","10.5791,5.235","10.5397,5.22","10.5408,5.211","10.479,5.1949","10.4458,5.1902","10.4125,5.1742","10.3743,5.1568","10.3431,5.1549","10.3489,5.1555","10.2651,5.1395","10.2441,5.1134","10.208,5.1227","10.1656,5.1102","10.1033,5.0994","10.1195,5.1078","10.0167,5.1217","9.9642,5.1423","9.9232,5.1538","9.8583,5.1705","9.7937,5.1838","9.7908,5.1842","9.6792,5.2232","9.6213,5.2397","9.5649,5.2539","9.5142,5.2392","9.4676,5.2345","9.4595,5.2391","9.341,5.2267","9.2817,5.2402","9.2255,5.2252","9.1675,5.2278","9.1089,5.2116","9.0965,5.2227","8.9512,5.2327","8.9141,5.2457","8.8448,5.2607","8.764,5.2678","8.678,5.2855","8.6924,5.283","8.5229,5.3463","8.444,5.325","8.3682,5.3541","8.2844,5.3697","8.1961,5.3827","8.1928,5.3854","8.049,5.396","7.9444,5.4209","7.8638,5.4285","7.754,5.421","7.6797,5.4468","7.678,5.4434","7.5008,5.4364","7.4138,5.4437","7.3346,5.4374","7.2337,5.4295","7.1431,5.4462","7.1479,5.4448","6.9663,5.4733","6.8589,5.4858","6.7777,5.5001","6.6824,5.5119","6.5883,5.5294","6.5826,5.541","6.402,5.5679","6.3127,5.5626","6.2239,5.5746","6.1291,5.5916","6.0231,5.5891","6.0188,5.5913","5.875,5.603","5.7628,5.6063","5.6808,5.6058","5.5803,5.6038","5.4805,5.6174","5.4888,5.6072","5.3118,5.6114","5.2231,5.6181","5.1269,5.6318","5.0282,5.6344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
